dataset_protocol,method,beta,seed,threshold_analysis,f1,pr_auc,roc_auc,fpr,precision,recall,false_positives_per_10000_benign,threshold
CICIoT2023_R1,CB-Score,0.1,2718,shared_full_threshold,0.8825438027255029,0.9873818243968394,0.9589233246948792,0.0029868045649072755,0.9987383960683149,0.7905680344606579,29.86804564907275,0.56
CICIoT2023_R1,CB-Score,0.1,9001,fixed_0.5,0.9252462989699205,0.9862318660199332,0.9544643858291687,0.21152817403708987,0.9287409142788491,0.9217778837698052,2115.2817403708987,0.5
CICIoT2023_R1,CB-Score,0.1,9001,method_specific,0.9225209552427646,0.9862318660199332,0.9544643858291687,0.04627318116975749,0.9825161279455609,0.8694310712316108,462.73181169757487,0.67
CICIoT2023_R1,CB-Score,0.1,9001,shared_full_threshold,0.9259352050483065,0.9862318660199332,0.9544643858291687,0.06695791726105564,0.9752288282345181,0.8813849845731916,669.5791726105564,0.62
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,42,fixed_0.5,0.002444200024442,0.16884511379024328,0.31957465946622704,0.00022901363485655884,0.6214689265536724,0.0012245079704336984,2.2901363485655883,0.5
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,42,method_specific,0.0026806145799280813,0.16884511379024328,0.31957465946622704,0.0062038768248455865,0.06346749226006192,0.001369222548757681,62.03876824845587,0.45
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,42,shared_full_threshold,0.0026806145799280813,0.16884511379024328,0.31957465946622704,0.0062038768248455865,0.06346749226006192,0.001369222548757681,62.03876824845587,0.45
CICIDS2017_COVERAGE_R1,CB-Score,0.1,314,fixed_0.5,0.0020202917212441443,0.16309416674272853,0.2813693483940396,0.0005571525743525238,0.35826771653543305,0.0010130020482678778,5.571525743525237,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.1,314,method_specific,0.0024494389460792427,0.16309416674272853,0.2813693483940396,0.002358498627627248,0.13857677902621723,0.0012356398610740048,23.584986276272478,0.35
CICIDS2017_COVERAGE_R1,CB-Score,0.1,314,shared_full_threshold,0.001200493536231562,0.16309416674272853,0.2813693483940396,0.00026319477438738854,0.4122137404580153,0.0006011220945765428,2.6319477438738854,0.69
CICIoT2023_R1,CB-Score,1.0,2718,fixed_0.5,0.8850788381742739,0.9880795553860022,0.9606765590812624,0.003700071326676177,0.9984459548016252,0.7948309013131418,37.00071326676177,0.5
CICIoT2023_R1,CB-Score,1.0,2718,method_specific,0.919709071296568,0.9880795553860022,0.9606765590812624,0.045024964336661914,0.9828778734657897,0.8641695607458526,450.2496433666191,0.2
CICIoT2023_R1,CB-Score,1.0,2718,shared_full_threshold,0.8832304954512947,0.9880795553860022,0.9606765590812624,0.0025410128388017117,0.9989278257434682,0.7915517729650773,25.410128388017117,0.56
CICIDS2017_COVERAGE_R1,CB-Score,0.8,3407,fixed_0.5,0.0034907869736202552,0.17732172610234292,0.37253104996953207,0.001825272850946305,0.22832369942196531,0.0017588387211684032,18.252728509463047,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.8,3407,method_specific,0.003075051158674852,0.17732172610234292,0.37253104996953207,0.0014834614556380082,0.2425828970331588,0.0015473327990025826,14.83461455638008,0.58
