dataset_protocol,method,beta,n_seeds,metric_accuracy_mean,metric_accuracy_sd,metric_balanced_accuracy_mean,metric_balanced_accuracy_sd,metric_f1_mean,metric_f1_sd,metric_fpr_mean,metric_fpr_sd,metric_pr_auc_mean,metric_pr_auc_sd,metric_precision_mean,metric_precision_sd,metric_recall_mean,metric_recall_sd,metric_roc_auc_mean,metric_roc_auc_sd,metric_false_positives_per_10000_benign_mean,metric_false_positives_per_10000_benign_sd,comm_E2E_broadcast_mean,comm_E2E_broadcast_sd,comm_E2E_unicast_mean,comm_E2E_unicast_sd,comm_downlink_broadcast_mean,comm_downlink_broadcast_sd,comm_downlink_unicast_mean,comm_downlink_unicast_sd,comm_empty_rounds_mean,comm_empty_rounds_sd,comm_full_candidate_airtime_us_mean,comm_full_candidate_airtime_us_sd,comm_metadata_wire_mean,comm_metadata_wire_sd,comm_selected_airtime_us_mean,comm_selected_airtime_us_sd,comm_selected_uplink_mean,comm_selected_uplink_sd,comm_wall_clock_seconds_mean,comm_wall_clock_seconds_sd,comm_sum_client_CPU_seconds_mean,comm_sum_client_CPU_seconds_sd,comm_max_client_seconds_mean,comm_max_client_seconds_sd,comm_server_selection_seconds_mean,comm_server_selection_seconds_sd,comm_aggregation_seconds_mean,comm_aggregation_seconds_sd,mean_selected_count_mean,mean_selected_count_sd,mean_static_eligible_count_mean,mean_static_eligible_count_sd,mean_budget_utilization_mean,mean_budget_utilization_sd,empty_round_rate_mean,empty_round_rate_sd,mean_airtime_reduction_mean,mean_airtime_reduction_sd,mean_actual_aggregate_validation_gain_mean,mean_actual_aggregate_validation_gain_sd,test_attack_prevalence
CICIDS2017_COVERAGE_R1,Cost-Only,0.2,10,0.7637773901582412,0.001925318936884841,0.49960734201742063,0.001254885343680758,0.002618630183497002,0.0005653027466088564,0.0021055581950991083,0.002524456564888023,0.19211217028330652,0.02567256860381667,0.26646644363901906,0.15722654339834155,0.001320242229940333,0.000286041217229445,0.33959663310011795,0.0539492264344337,21.055581950991083,25.244565648880233,5653959.5,100832.76620033347,24081867.2,103433.37581995045,2047545.3,718.4186414928586,20475453.0,7184.186414928586,0.0,0.0,47276796.8,890736.1661745238,25500.0,0.0,8605191.9,4511300.365743499,3580914.2,100565.32174749792,59.09021702000355,2.286897702011948,41.06810029999433,2.2805455613836694,5.4910098899996225,0.38463527340837994,0.0017630399979680078,9.056190561077732e-05,0.011397250000663916,0.0005165743718642189,1.9933333333333334,0.014054567378526174,9.4,0.699205898780101,0.9862478853282687,0.012323991690467677,0.0,0.0,0.8175174484337135,0.09719124928461953,0.002083067851453571,0.0019712570014627363,0.23492184700999763
CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.2,10,0.7559210337063372,0.0206927861665939,0.5044700476351361,0.039619435892636716,0.04421740269792091,0.1195411916045497,0.021234007499342015,0.021296947194270187,0.20537326080268004,0.07363811402246778,0.22793846023529413,0.20735158758060915,0.030174102769614394,0.08426229979365364,0.40296593733453917,0.10647587273130082,212.34007499342013,212.96947194270186,5502385.1,198904.71392964353,23926311.2,199456.34529824648,2047102.9,1246.493165288567,20471029.0,12464.93165288567,0.0,0.0,47785450.3,426678.7207172394,25500.0,0.0,7694013.0,3312333.8872523103,3429782.2,198882.39283657062,139.65835621000187,6.884322875479108,99.57225216000298,6.8224798640658815,12.741775749998487,1.026500414960103,0.03499946000083583,0.00032629073607772353,0.022430360004000248,0.0006185257807774828,1.8766666666666667,0.11552349982728911,9.4,0.699205898780101,0.9349726389145427,0.05645720172919971,0.0,0.0,0.8388345067563574,0.06945070231955122,0.002782139328157785,0.002679097059210768,0.23492184700999763
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.2,10,0.7674793601313838,0.021863835997869875,0.5319167963587346,0.05060798381060728,0.13363592396418472,0.16178059043708942,0.023756575596717244,0.015464697161407479,0.25595250375800116,0.10336239688731717,0.3894827093952632,0.27727559976212107,0.08759016831418648,0.10828186201320893,0.45286287045731877,0.1281054967750759,237.56575596717244,154.64697161407477,5169400.5,509828.3757599763,23593376.1,509980.03494809044,2047108.4,888.2085841112373,20471084.0,8882.085841112374,1.1,3.142893217686178,47905398.6,341408.14951778104,25500.0,0.0,6035391.5,2687874.866152699,3096792.1,509819.259210654,138.38329850999943,4.834986024357698,98.081798909996,4.730822595227692,12.526915229996302,0.5824250931404793,0.009398760001568007,0.00039356137217245747,0.021370870004102472,0.002657208673342138,1.6866666666666665,0.27541214906363853,9.4,0.699205898780101,0.8414289356282603,0.1370121698378255,0.03666666666666667,0.10476310725620593,0.8740736815110752,0.05562572246396298,0.003773061212502981,0.002685256838743972,0.23492184700999763
CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.2,10,0.7618058479409818,0.008803342807787324,0.5202761493029874,0.0737201302012166,0.060292968068349696,0.1812314894650373,0.024141797039229695,0.05298572993683757,0.22147479100273737,0.13698111995096637,0.20154376141323616,0.19305781330662575,0.06469409564520438,0.1997308159817411,0.40333620331661213,0.12328008271055244,241.41797039229692,529.8572993683756,5553570.2,184854.47840504162,23976673.7,183381.1355644304,2047011.5,1328.763021259497,20470115.0,13287.630212594971,0.0,0.0,47660979.6,359028.15008829354,25500.0,0.0,7779187.9,2623206.412421784,3481058.7,185065.16749756018,140.43894285999812,5.967876696473108,99.89752857999738,5.9876044244748945,12.84206215000304,1.0245745858112911,0.049359959997673286,0.0063021722265746176,0.022930959998848265,0.0013505931091066983,1.91,0.1066319387912007,9.4,0.699205898780101,0.9515155935415466,0.052125929230329125,0.0,0.0,0.8367163735844909,0.05517739646471731,0.002442431622997111,0.0020489942373682476,0.23492184700999763
CICIDS2017_COVERAGE_R1,Random-Budget,0.2,10,0.7591263915730234,0.011007987875514864,0.49951598963449834,0.00968019649804135,0.018166706330652774,0.028778217734027892,0.010797480166393788,0.014630831943952058,0.2080818331564418,0.05893382929980767,0.24576441347781905,0.1798172186225047,0.009829459435390507,0.016282247913448504,0.39860588130328656,0.09807134757965062,107.97480166393787,146.30831943952057,5483959.5,190291.5323358405,23918310.3,185583.21341953916,2048261.2,1076.6292872768333,20482612.0,10766.292872768334,0.0,0.0,47844457.7,358557.95254790323,23100.0,0.0,9451807.3,2749708.0838602586,3412598.3,190837.87925883874,58.660663190003106,2.0840402275313754,40.44986213999473,1.847093074448246,5.359148729996377,0.31435353841026553,0.004129419996388606,0.00030541855407386357,0.010849789996427717,0.0007342718415292427,1.8633333333333333,0.11160999114531271,9.4,0.699205898780101,0.9287345146216898,0.05304384771730804,0.0,0.0,0.8021498662464475,0.05848892232830763,0.002446097203815288,0.0027950680216972754,0.23492184700999763
CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.2,10,0.7668632368439634,0.03138724715751984,0.5307153809590994,0.07975052308183028,0.10944840831002234,0.21561528140042518,0.02385399184438011,0.021713323220493227,0.24756813249222048,0.14251206705426334,0.29355461114228143,0.28421200656754275,0.08528475376257903,0.17418141713604618,0.435186170968238,0.11885036251485473,238.53991844380107,217.13323220493226,5292677.1,281395.0694981662,23715516.0,281495.5996419443,2046982.1,941.7904284452625,20469821.0,9417.904284452625,0.3,0.6749485577105528,47920581.5,365535.68994566804,25500.0,0.0,7875544.3,3377941.9068259117,3220195.0,281399.65766187815,86.31061904000016,40.588154331256185,60.7214030499963,30.30289203815357,7.845270659999732,3.74697488649346,0.0024899300035031045,0.001153493989109063,0.014614109996546176,0.005888556784759273,1.7533333333333334,0.15006171569897006,9.4,0.699205898780101,0.8747568311221369,0.07470513190529503,0.01,0.02249828525701843,0.8353271263017379,0.07066799113565574,0.003726498591164126,0.002736891422896938,0.23492184700999763
CICIDS2017_COVERAGE_R1,Utility-Only,0.2,10,0.7696038871207743,0.030463575595822658,0.5376095216379475,0.07893599258445286,0.1319960838036343,0.2173134451304862,0.024794314992873233,0.022249361678042232,0.26759323159969917,0.14755660640730983,0.3630189834724671,0.31791979001978216,0.10001335826876837,0.17357563105133558,0.4586959765773183,0.13230404037699417,247.9431499287323,222.4936167804223,5293517.2,282966.970415198,23715358.0,282047.7108780632,2046871.2,884.1795694942917,20468712.0,8841.795694942917,0.3,0.6749485577105528,47932372.0,367307.25044088694,25500.0,0.0,7836836.6,3378880.998590549,3221146.0,283082.7346405209,57.260639629999424,1.3627120154945125,39.387751019995996,1.4339220543331852,5.150313699996696,0.23295853505494662,0.0015516199950070587,0.00011655442677371295,0.010605079999368171,0.0006196391201633084,1.7533333333333334,0.15006171569897006,9.4,0.699205898780101,0.8747557089588047,0.07472960296185388,0.01,0.02249828525701843,0.8361983154191751,0.07068664368673795,0.0037115389988836233,0.0027198792553970925,0.23492184700999763
CICIDS2017_COVERAGE_R1,CB-Score,0.4,10,0.7620236877959994,0.0037964460143839595,0.49921835559080285,0.0026680504183776137,0.006844135995264594,0.005643046540165481,0.005068721181026733,0.0050509530655767,0.18201893028975738,0.02083385181685645,0.3701263512926248,0.2865239056888365,0.0035054323626324694,0.002907327670675639,0.3559232611547113,0.06864552319924247,50.687211810267335,50.509530655767,8557196.4,596303.8638179923,26986617.9,594364.1694809393,2047713.5,987.290259019887,20477135.0,9872.90259019887,0.0,0.0,48078368.0,374077.4828947726,25500.0,0.0,15552033.8,4840643.777623151,6483982.9,596527.16626831,56.89660762999993,2.4538519913844596,39.697183310002586,1.715237208006499,5.308948680005415,0.31567796906092027,0.013232939998852089,0.0021419917708806403,0.014160520007135347,0.0017004931268416762,3.5166666666666666,0.32820123306093163,9.4,0.699205898780101,0.8784998557642016,0.08132225149835015,0.0,0.0,0.67625705915368,0.10084630899859329,0.002229254868246099,0.001854313735585541,0.23492184700999763
CICIDS2017_COVERAGE_R1,Cost-Only,0.4,10,0.7612922375265109,0.006608831406034836,0.4984178964889383,0.004474649733881375,0.005036981429087325,0.0045596211670204286,0.005739013327226303,0.008595405289297241,0.17942539039746858,0.01606150484947412,0.2924887453319452,0.2032547759601545,0.0025748063051028586,0.0023454590962100506,0.344379972554277,0.04830425889855566,57.39013327226303,85.9540528929724,9314624.6,129167.37005417084,27746659.7,132551.42542428998,2048003.9,1263.783600498475,20480039.0,12637.836004984749,0.0,0.0,47730122.0,586396.2638385223,25500.0,0.0,15011765.5,4386303.550834835,7241120.7,128847.86804345831,70.65923105000184,14.113084505439263,49.714210180005104,10.587244956385533,6.741099009995741,1.5192401058164418,0.001994579997699475,0.00044538096964116423,0.018475160000525646,0.003248121162457165,3.9766666666666666,0.03162277660168388,9.4,0.699205898780101,0.9886875816341779,0.007576120927984595,0.0,0.0,0.6858053953056943,0.0908712441531851,0.0020061672620026692,0.0019950744958512753,0.23492184700999763
CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.4,10,0.7593251410205784,0.012061486338510178,0.4973298165143767,0.008076998665637991,0.006109941678896441,0.005774825256266347,0.00848512607713316,0.015676052371281217,0.18040001564614294,0.02157224877707157,0.292276753025144,0.1910087354015153,0.003144759105886544,0.0029672991309129333,0.34831729795024563,0.06930226196141676,84.8512607713316,156.7605237128122,8588979.4,641541.9379178401,27018434.2,639842.852058361,2047717.2,977.3526373718842,20477172.0,9773.526373718842,0.0,0.0,48085293.4,380278.55095536367,25500.0,0.0,15829124.0,5379906.249158292,6515762.2,641737.8900194551,55.50379972999654,1.8669859731605831,38.73878613999477,1.7719760598908416,5.1941412900028805,0.23085128163492763,0.012506619994383072,0.0010244650340060773,0.01363271000154782,0.0012407670263427464,3.533333333333333,0.3506607519568776,9.4,0.699205898780101,0.882556164329361,0.08683492775209344,0.0,0.0,0.6705354217567157,0.11184247390212483,0.002227942625313357,0.0018551678837734347,0.23492184700999763
