dataset_protocol,beta,endpoint,rank,method,value
CICIDS2017_COVERAGE_R1,0.6,metric_fpr_mean,6,CB-Score,0.006387087732730834
CICIDS2017_COVERAGE_R1,0.6,metric_fpr_mean,7,Historical-DoubleCost,0.006387087732730834
CICIDS2017_COVERAGE_R1,0.6,metric_fpr_mean,8,Cost-Only,0.0078688401313923
CICIDS2017_COVERAGE_R1,0.6,comm_selected_uplink_mean,1,Oort-Style-Adapted,8297485.2
CICIDS2017_COVERAGE_R1,0.6,comm_selected_uplink_mean,2,Utility-Only,8301487.8
CICIDS2017_COVERAGE_R1,0.6,comm_selected_uplink_mean,3,Utility-Cost-Ratio,8344591.0
CICIDS2017_COVERAGE_R1,0.6,comm_selected_uplink_mean,4,Oracle-Score-Exact,9072066.8
CICIDS2017_COVERAGE_R1,0.6,comm_selected_uplink_mean,5,CB-Score,9118000.3
CICIDS2017_COVERAGE_R1,0.6,comm_selected_uplink_mean,6,Historical-DoubleCost,9118000.3
CICIDS2017_COVERAGE_R1,0.6,comm_selected_uplink_mean,7,Random-Budget,10405501.7
CICIDS2017_COVERAGE_R1,0.6,comm_selected_uplink_mean,8,Cost-Only,10877922.7
CICIDS2017_COVERAGE_R1,0.6,comm_E2E_broadcast_mean,1,Oort-Style-Adapted,10370901.8
CICIDS2017_COVERAGE_R1,0.6,comm_E2E_broadcast_mean,2,Utility-Only,10374986.6
CICIDS2017_COVERAGE_R1,0.6,comm_E2E_broadcast_mean,3,Utility-Cost-Ratio,10418064.0
CICIDS2017_COVERAGE_R1,0.6,comm_E2E_broadcast_mean,4,Oracle-Score-Exact,11145568.5
CICIDS2017_COVERAGE_R1,0.6,comm_E2E_broadcast_mean,5,CB-Score,11191540.0
CICIDS2017_COVERAGE_R1,0.6,comm_E2E_broadcast_mean,6,Historical-DoubleCost,11191540.0
CICIDS2017_COVERAGE_R1,0.6,comm_E2E_broadcast_mean,7,Random-Budget,12477042.5
CICIDS2017_COVERAGE_R1,0.6,comm_E2E_broadcast_mean,8,Cost-Only,12951698.1
CICIDS2017_COVERAGE_R1,0.8,metric_f1_mean,1,Utility-Cost-Ratio,0.04736479827671743
CICIDS2017_COVERAGE_R1,0.8,metric_f1_mean,2,Utility-Only,0.04735875584178657
CICIDS2017_COVERAGE_R1,0.8,metric_f1_mean,3,Oort-Style-Adapted,0.006663791045267543
CICIDS2017_COVERAGE_R1,0.8,metric_f1_mean,4,Oracle-Score-Exact,0.006471108165830705
CICIDS2017_COVERAGE_R1,0.8,metric_f1_mean,5,Cost-Only,0.004731976489526133
CICIDS2017_COVERAGE_R1,0.8,metric_f1_mean,6,CB-Score,0.004669289966077554
CICIDS2017_COVERAGE_R1,0.8,metric_f1_mean,7,Historical-DoubleCost,0.004669289966077554
CICIDS2017_COVERAGE_R1,0.8,metric_f1_mean,8,Random-Budget,0.003943996958657845
CICIDS2017_COVERAGE_R1,0.8,metric_pr_auc_mean,1,Utility-Only,0.19889702777093865
CICIDS2017_COVERAGE_R1,0.8,metric_pr_auc_mean,2,Utility-Cost-Ratio,0.198722389197518
CICIDS2017_COVERAGE_R1,0.8,metric_pr_auc_mean,3,Oort-Style-Adapted,0.19100809281412964
CICIDS2017_COVERAGE_R1,0.8,metric_pr_auc_mean,4,Oracle-Score-Exact,0.18498441727978446
CICIDS2017_COVERAGE_R1,0.8,metric_pr_auc_mean,5,CB-Score,0.18490567806963018
CICIDS2017_COVERAGE_R1,0.8,metric_pr_auc_mean,6,Historical-DoubleCost,0.18490567806963018
CICIDS2017_COVERAGE_R1,0.8,metric_pr_auc_mean,7,Cost-Only,0.17944957120108673
CICIDS2017_COVERAGE_R1,0.8,metric_pr_auc_mean,8,Random-Budget,0.1780505307707419
CICIDS2017_COVERAGE_R1,0.8,metric_fpr_mean,1,Random-Budget,0.0009792896475582704
CICIDS2017_COVERAGE_R1,0.8,metric_fpr_mean,2,Cost-Only,0.002150335487884495
CICIDS2017_COVERAGE_R1,0.8,metric_fpr_mean,3,CB-Score,0.0023557641364647815
CICIDS2017_COVERAGE_R1,0.8,metric_fpr_mean,4,Historical-DoubleCost,0.0023557641364647815
CICIDS2017_COVERAGE_R1,0.8,metric_fpr_mean,5,Oracle-Score-Exact,0.002496932242727108
CICIDS2017_COVERAGE_R1,0.8,metric_fpr_mean,6,Oort-Style-Adapted,0.005432408505634761
CICIDS2017_COVERAGE_R1,0.8,metric_fpr_mean,7,Utility-Only,0.02624974791409596
CICIDS2017_COVERAGE_R1,0.8,metric_fpr_mean,8,Utility-Cost-Ratio,0.02630751403990306
CICIDS2017_COVERAGE_R1,0.8,comm_selected_uplink_mean,1,Utility-Cost-Ratio,9855493.2
CICIDS2017_COVERAGE_R1,0.8,comm_selected_uplink_mean,2,Utility-Only,9862021.9
CICIDS2017_COVERAGE_R1,0.8,comm_selected_uplink_mean,3,Oort-Style-Adapted,10102466.4
CICIDS2017_COVERAGE_R1,0.8,comm_selected_uplink_mean,4,CB-Score,10826675.5
CICIDS2017_COVERAGE_R1,0.8,comm_selected_uplink_mean,5,Historical-DoubleCost,10826675.5
CICIDS2017_COVERAGE_R1,0.8,comm_selected_uplink_mean,6,Oracle-Score-Exact,10933272.9
CICIDS2017_COVERAGE_R1,0.8,comm_selected_uplink_mean,7,Random-Budget,13981178.2
CICIDS2017_COVERAGE_R1,0.8,comm_selected_uplink_mean,8,Cost-Only,14188554.7
CICIDS2017_COVERAGE_R1,0.8,comm_E2E_broadcast_mean,1,Utility-Cost-Ratio,11928970.9
CICIDS2017_COVERAGE_R1,0.8,comm_E2E_broadcast_mean,2,Utility-Only,11935495.8
CICIDS2017_COVERAGE_R1,0.8,comm_E2E_broadcast_mean,3,Oort-Style-Adapted,12176020.3
CICIDS2017_COVERAGE_R1,0.8,comm_E2E_broadcast_mean,4,CB-Score,12900111.3
CICIDS2017_COVERAGE_R1,0.8,comm_E2E_broadcast_mean,5,Historical-DoubleCost,12900111.3
CICIDS2017_COVERAGE_R1,0.8,comm_E2E_broadcast_mean,6,Oracle-Score-Exact,13006733.0
CICIDS2017_COVERAGE_R1,0.8,comm_E2E_broadcast_mean,7,Random-Budget,16052737.2
CICIDS2017_COVERAGE_R1,0.8,comm_E2E_broadcast_mean,8,Cost-Only,16262478.0
CICIDS2017_COVERAGE_R1,1.0,metric_f1_mean,1,Oort-Style-Adapted,0.0075717749397408276
CICIDS2017_COVERAGE_R1,1.0,metric_f1_mean,2,Utility-Cost-Ratio,0.0075717749397408276
CICIDS2017_COVERAGE_R1,1.0,metric_f1_mean,3,Utility-Only,0.0075717749397408276
CICIDS2017_COVERAGE_R1,1.0,metric_f1_mean,4,Cost-Only,0.004694051210685363
CICIDS2017_COVERAGE_R1,1.0,metric_f1_mean,5,Random-Budget,0.004694051210685363
CICIDS2017_COVERAGE_R1,1.0,metric_f1_mean,6,CB-Score,0.004488324585756518
CICIDS2017_COVERAGE_R1,1.0,metric_f1_mean,7,Historical-DoubleCost,0.004488324585756518
CICIDS2017_COVERAGE_R1,1.0,metric_f1_mean,8,Oracle-Score-Exact,0.004488324585756518
