dataset_protocol,seed,beta,method,endpoint,normalized_auc,start_value,end_value
CICIDS2017_COVERAGE_R1,42,1.0,Full-Contextual,validation_F1,7.53945647884993e-05,0.0,0.0
CICIDS2017_COVERAGE_R1,42,1.0,Full-Contextual,validation_PR_AUC,0.032340844880976174,0.0328001974846566,0.03167053155374365
CICIDS2017_COVERAGE_R1,42,1.0,Full-Contextual,validation_FPR,0.006011340141203198,0.0548032075934866,0.001533467342628264
CICIDS2017_COVERAGE_R1,42,1.0,Random-Budget,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,1.0,Random-Budget,validation_PR_AUC,0.031702076319190656,0.03298753067590629,0.033559587968635146
CICIDS2017_COVERAGE_R1,42,1.0,Random-Budget,validation_FPR,0.00552377081385286,0.0443467403047501,0.0008594796676771934
CICIDS2017_COVERAGE_R1,42,1.0,Cost-Only,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,1.0,Cost-Only,validation_PR_AUC,0.03170175972675258,0.032987546915472815,0.03354513282376539
CICIDS2017_COVERAGE_R1,42,1.0,Cost-Only,validation_FPR,0.005525029113778471,0.0443471443491528,0.0008590156337790079
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Only,validation_F1,0.006940666935515521,0.0,0.0
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Only,validation_PR_AUC,0.033771794348608546,0.03331710067715894,0.03359511768913796
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Only,validation_FPR,0.009600244243326566,0.054206206465854556,0.000973544692680944
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Cost-Ratio,validation_F1,0.006940666935515521,0.0,0.0
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Cost-Ratio,validation_PR_AUC,0.033771794348608546,0.03331710067715894,0.03359511768913796
CICIDS2017_COVERAGE_R1,42,1.0,Utility-Cost-Ratio,validation_FPR,0.009600244243326566,0.054206206465854556,0.000973544692680944
CICIDS2017_COVERAGE_R1,42,1.0,CB-Score,validation_F1,0.0060930857182835245,0.14655441874330744,0.0
CICIDS2017_COVERAGE_R1,42,1.0,CB-Score,validation_PR_AUC,0.03374300052578224,0.06433095269026028,0.0316449437584704
CICIDS2017_COVERAGE_R1,42,1.0,CB-Score,validation_FPR,0.006970447333211694,0.03889164588241634,0.0002250225022502
CICIDS2017_COVERAGE_R1,42,1.0,Historical-DoubleCost,validation_F1,0.0060930857182835245,0.14655441874330744,0.0
CICIDS2017_COVERAGE_R1,42,1.0,Historical-DoubleCost,validation_PR_AUC,0.03374300052578224,0.06433095269026028,0.0316449437584704
CICIDS2017_COVERAGE_R1,42,1.0,Historical-DoubleCost,validation_FPR,0.006970447333211694,0.03889164588241634,0.0002250225022502
CICIDS2017_COVERAGE_R1,42,1.0,Oort-Style-Adapted,validation_F1,0.006940666935515521,0.0,0.0
CICIDS2017_COVERAGE_R1,42,1.0,Oort-Style-Adapted,validation_PR_AUC,0.033771794348608546,0.03331710067715894,0.03359511768913796
CICIDS2017_COVERAGE_R1,42,1.0,Oort-Style-Adapted,validation_FPR,0.009600244243326566,0.054206206465854556,0.000973544692680944
CICIDS2017_COVERAGE_R1,42,1.0,Oracle-Score-Exact,validation_F1,0.0060930857182835245,0.14655441874330744,0.0
CICIDS2017_COVERAGE_R1,42,1.0,Oracle-Score-Exact,validation_PR_AUC,0.03374300052578224,0.06433095269026028,0.0316449437584704
CICIDS2017_COVERAGE_R1,42,1.0,Oracle-Score-Exact,validation_FPR,0.006970447333211694,0.03889164588241634,0.0002250225022502
CICIDS2017_COVERAGE_R1,123,0.1,Full-Contextual,validation_F1,2.6137234126191718e-05,0.0,0.0003838023251309425
CICIDS2017_COVERAGE_R1,123,0.1,Full-Contextual,validation_PR_AUC,0.029872047572257,0.0318073773122044,0.026393325707610365
CICIDS2017_COVERAGE_R1,123,0.1,Full-Contextual,validation_FPR,0.058730266431231415,0.0469664116515975,0.05841445730607983
CICIDS2017_COVERAGE_R1,123,0.1,Random-Budget,validation_F1,0.018818669354085917,0.11465160959430608,0.024930702229567378
CICIDS2017_COVERAGE_R1,123,0.1,Random-Budget,validation_PR_AUC,0.030436635327619845,0.05171813044906351,0.028698184272715623
CICIDS2017_COVERAGE_R1,123,0.1,Random-Budget,validation_FPR,0.06659171420165852,0.3438307366739253,0.0367005022319378
CICIDS2017_COVERAGE_R1,123,0.1,Cost-Only,validation_F1,0.06537798824943312,0.09906247708578894,0.026237325105509024
CICIDS2017_COVERAGE_R1,123,0.1,Cost-Only,validation_PR_AUC,0.06494202829608074,0.045011257506140843,0.06048178026196539
CICIDS2017_COVERAGE_R1,123,0.1,Cost-Only,validation_FPR,0.17520056111372975,0.42231838267445254,0.09490360351036253
CICIDS2017_COVERAGE_R1,123,0.1,Utility-Only,validation_F1,0.06849996814647008,0.0,8.325522787160046e-05
CICIDS2017_COVERAGE_R1,123,0.1,Utility-Only,validation_PR_AUC,0.04503613278256842,0.029921439158379175,0.028400981342773177
CICIDS2017_COVERAGE_R1,123,0.1,Utility-Only,validation_FPR,0.07917814570165461,0.009450792467068413,0.0024666935718744704
CICIDS2017_COVERAGE_R1,123,0.1,Utility-Cost-Ratio,validation_F1,0.06849996814647008,0.0,8.325522787160046e-05
CICIDS2017_COVERAGE_R1,123,0.1,Utility-Cost-Ratio,validation_PR_AUC,0.04503613278256842,0.029921439158379175,0.028400981342773177
CICIDS2017_COVERAGE_R1,123,0.1,Utility-Cost-Ratio,validation_FPR,0.07917814570165461,0.009450792467068413,0.0024666935718744704
CICIDS2017_COVERAGE_R1,123,0.1,CB-Score,validation_F1,0.07608642441326097,0.0,0.0038844696377421106
CICIDS2017_COVERAGE_R1,123,0.1,CB-Score,validation_PR_AUC,0.04556650868005566,0.029921439158379175,0.029604576545009764
CICIDS2017_COVERAGE_R1,123,0.1,CB-Score,validation_FPR,0.08285183229241692,0.009450792467068413,0.008186557560702523
CICIDS2017_COVERAGE_R1,123,0.1,Historical-DoubleCost,validation_F1,0.07608642441326097,0.0,0.0038844696377421106
CICIDS2017_COVERAGE_R1,123,0.1,Historical-DoubleCost,validation_PR_AUC,0.04556650868005566,0.029921439158379175,0.029604576545009764
CICIDS2017_COVERAGE_R1,123,0.1,Historical-DoubleCost,validation_FPR,0.08285183229241692,0.009450792467068413,0.008186557560702523
CICIDS2017_COVERAGE_R1,123,0.1,Oort-Style-Adapted,validation_F1,0.08126346291774791,0.0,0.0
CICIDS2017_COVERAGE_R1,123,0.1,Oort-Style-Adapted,validation_PR_AUC,0.04562602023288188,0.029921439158379175,0.0270522605164373
CICIDS2017_COVERAGE_R1,123,0.1,Oort-Style-Adapted,validation_FPR,0.06524162391092748,0.009450792467068413,0.0008386859223499
CICIDS2017_COVERAGE_R1,123,0.1,Oracle-Score-Exact,validation_F1,0.07608642441326097,0.0,0.0038844696377421106
CICIDS2017_COVERAGE_R1,123,0.1,Oracle-Score-Exact,validation_PR_AUC,0.04556650868005566,0.029921439158379175,0.029604576545009764
CICIDS2017_COVERAGE_R1,123,0.1,Oracle-Score-Exact,validation_FPR,0.08285183229241692,0.009450792467068413,0.008186557560702523
CICIDS2017_COVERAGE_R1,123,0.2,Full-Contextual,validation_F1,0.0003225046321894046,0.0,0.000927257986275805
CICIDS2017_COVERAGE_R1,123,0.2,Full-Contextual,validation_PR_AUC,0.028748094158544887,0.0318073773122044,0.025945651980883805
CICIDS2017_COVERAGE_R1,123,0.2,Full-Contextual,validation_FPR,0.04834149824468369,0.0469664116515975,0.023531506824006437
CICIDS2017_COVERAGE_R1,123,0.2,Random-Budget,validation_F1,0.0011235876273646853,0.000505549511710962,0.0016805320960589737
CICIDS2017_COVERAGE_R1,123,0.2,Random-Budget,validation_PR_AUC,0.027988272123102644,0.033051814504631134,0.028728375583184834
CICIDS2017_COVERAGE_R1,123,0.2,Random-Budget,validation_FPR,0.020876597619616737,0.017357286218996633,0.009638624326389404
CICIDS2017_COVERAGE_R1,123,0.2,Cost-Only,validation_F1,0.03656648665222339,0.10696834284443126,0.0001798618803636083
CICIDS2017_COVERAGE_R1,123,0.2,Cost-Only,validation_PR_AUC,0.04441882497928883,0.05887693790459959,0.026463013444964226
CICIDS2017_COVERAGE_R1,123,0.2,Cost-Only,validation_FPR,0.11751906424521463,0.35813877054232995,0.0031404342544976696
CICIDS2017_COVERAGE_R1,123,0.2,Utility-Only,validation_F1,0.051820706632142444,0.00889168192386132,0.0883253024083694
CICIDS2017_COVERAGE_R1,123,0.2,Utility-Only,validation_PR_AUC,0.04173225944382508,0.03368261858316603,0.04078281647668674
CICIDS2017_COVERAGE_R1,123,0.2,Utility-Only,validation_FPR,0.058058902200013446,0.0353270433117755,0.12166638366488672
CICIDS2017_COVERAGE_R1,123,0.2,Utility-Cost-Ratio,validation_F1,0.051820706632142444,0.00889168192386132,0.0883253024083694
CICIDS2017_COVERAGE_R1,123,0.2,Utility-Cost-Ratio,validation_PR_AUC,0.04173225944382508,0.03368261858316603,0.04078281647668674
CICIDS2017_COVERAGE_R1,123,0.2,Utility-Cost-Ratio,validation_FPR,0.058058902200013446,0.0353270433117755,0.12166638366488672
CICIDS2017_COVERAGE_R1,123,0.2,CB-Score,validation_F1,0.08648323292130489,0.0675063209087737,0.05821392445257219
CICIDS2017_COVERAGE_R1,123,0.2,CB-Score,validation_PR_AUC,0.05169739981442368,0.04278251378595306,0.047836619664575614
CICIDS2017_COVERAGE_R1,123,0.2,CB-Score,validation_FPR,0.07100524275428208,0.22026798451667437,0.04091337363395918
CICIDS2017_COVERAGE_R1,123,0.2,Historical-DoubleCost,validation_F1,0.08647759902750786,0.0675063209087737,0.05799983648828526
CICIDS2017_COVERAGE_R1,123,0.2,Historical-DoubleCost,validation_PR_AUC,0.05176406898359471,0.04278251378595306,0.0503700480930747
CICIDS2017_COVERAGE_R1,123,0.2,Historical-DoubleCost,validation_FPR,0.07099753347205741,0.22026798451667437,0.04062042090942143
CICIDS2017_COVERAGE_R1,123,0.2,Oort-Style-Adapted,validation_F1,0.01468751480097999,0.03970757601827154,0.0223101835192515
