phase,dataset_protocol,method,beta,alpha_dir,n_seeds,metric_f1_mean,metric_f1_sd,metric_pr_auc_mean,metric_pr_auc_sd,metric_fpr_mean,metric_fpr_sd,metric_roc_auc_mean,metric_roc_auc_sd,metric_false_positives_per_10000_benign_mean,metric_false_positives_per_10000_benign_sd,comm_selected_uplink_mean,comm_selected_uplink_sd,comm_E2E_broadcast_mean,comm_E2E_broadcast_sd,comm_wall_clock_seconds_mean,comm_wall_clock_seconds_sd
heterogeneity,CICIoT2023_R1,Utility-Only,0.4,1.0,10,0.9202813964223975,0.005483150815202114,0.9876736054008957,0.0009437839230428465,0.04895238944365193,0.00224341976381186,0.9598404759713695,0.0032281960291531773,489.5238944365193,22.43419763811861,4436703.9,540564.266385999,5959078.0,540662.85891713,53.93834011997387,8.90573884804755
natural_partition,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,CB-Score,0.4,0.5,10,0.8618419851689514,0.0749016944399136,0.9739123968363275,0.0121615148351721,0.024126248216833096,0.011762122682041274,0.914879545980579,0.032452097382120126,241.26248216833096,117.62122682041274,42206.4,14830.185008211387,1557401.4,16597.20731662743,38.38253286001127,0.6018324602639271
natural_partition,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Full-Contextual,Full,0.5,10,0.856768871237565,0.0,0.7239595482671488,0.004933363757635996,1.0,0.0,0.4335309345198447,0.012718289137259671,10000.0,0.0,13374736.6,128474.36840535763,14866902.4,128150.8564675936,37.19456436001783,0.443618344202227
natural_partition,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oort-Style-Adapted,0.4,0.5,10,0.8905121805596347,0.005816377514089296,0.9793235917077106,0.0017285297624414135,0.002505349500713267,0.0015087999352268334,0.9291625404912922,0.00660894729726729,25.053495007132668,15.087999352268334,254463.8,38626.96988087181,1774567.6,39024.21354663452,39.39775827997946,0.5966995656486508
natural_partition,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oracle-Score-Exact,0.4,0.5,10,0.8618419851689514,0.0749016944399136,0.9739123968363275,0.0121615148351721,0.024126248216833096,0.011762122682041274,0.914879545980579,0.032452097382120126,241.26248216833096,117.62122682041274,42206.4,14830.185008211387,1557401.4,16597.20731662743,38.422727409991786,0.5848360775620933
natural_partition,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Random-Budget,0.4,0.5,10,0.8691239706488747,0.00265319088847463,0.9840964213239353,0.0012673670631113273,0.00025855920114122683,9.584234127791903e-05,0.9487575345519386,0.0032457835138792763,2.585592011412268,0.9584234127791904,1359339.5,12420.849982097754,2879087.7,12490.833715168896,54.007537029995,6.429992266074161
natural_partition,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Utility-Only,0.4,0.5,10,0.8905121805596347,0.005816377514089296,0.9793235917077106,0.0017285297624414135,0.002505349500713267,0.0015087999352268334,0.9291625404912922,0.00660894729726729,25.053495007132668,15.087999352268334,254463.8,38626.96988087181,1774567.6,39024.21354663452,38.14390313000185,3.25680453423959
ood_stress,CICIDS2017_FILE_DISJOINT_OOD,CB-Score,0.4,0.5,10,0.006844135995264594,0.005643046540165481,0.18201893028975738,0.02083385181685645,0.005068721181026733,0.0050509530655767,0.3559232611547113,0.06864552319924247,50.687211810267335,50.509530655767,6483982.9,596527.16626831,8557196.4,596303.8638179923,62.922620059986365,2.5548941238175833
ood_stress,CICIDS2017_FILE_DISJOINT_OOD,Full-Contextual,Full,0.5,10,0.004252422535036786,0.004423489927978709,0.17374355098046187,0.007601204948891591,0.0012291537775286352,0.0018202591321881349,0.34913084146500706,0.03102190584256352,12.291537775286352,18.20259132188135,18529604.8,97553.72991194818,20577630.5,97524.38103395251,54.961546890017054,1.539400955500422
ood_stress,CICIDS2017_FILE_DISJOINT_OOD,Oort-Style-Adapted,0.4,0.5,10,0.03670972445411305,0.09971985536449496,0.21035704889230042,0.06081536409352916,0.013775341042319669,0.01639973454977785,0.3975828933107483,0.11652606879699222,137.7534104231967,163.99734549777853,5814869.5,1200814.46664293,7887804.7,1200521.7930604685,70.52272928999591,24.710140944467575
ood_stress,CICIDS2017_FILE_DISJOINT_OOD,Oracle-Score-Exact,0.4,0.5,10,0.004806945264110012,0.0035057953469923016,0.17380806834349702,0.008778022299195049,0.012497650046657255,0.016730907546576725,0.33411426203782274,0.0377652980128651,124.97650046657256,167.30907546576722,6735898.5,652751.0373555314,8809207.3,652320.7786819559,143.69944517998664,6.029991903808091
ood_stress,CICIDS2017_FILE_DISJOINT_OOD,Random-Budget,0.4,0.5,10,0.009522812748853313,0.0076041720473217994,0.19543808655926953,0.0324093405171107,0.002756025280370797,0.0020146405072284266,0.4107407758202002,0.08849022865005414,27.56025280370797,20.146405072284267,6891297.0,432239.45399486355,8962781.4,431907.33973753627,55.192151910005485,1.3560800835721314
ood_stress,CICIDS2017_FILE_DISJOINT_OOD,Utility-Only,0.4,0.5,10,0.008955353771429609,0.009998743796216425,0.19244948702365305,0.02864980430027929,0.01083883934522609,0.014541710471539026,0.3904108853354967,0.10057152851520296,108.38839345226091,145.41710471539025,5939592.8,1136409.4724913982,8012673.8,1136078.0252634059,62.12266129000054,2.9736225835784804
feature_sensitivity,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,CB-Score,0.4,0.5,10,0.010733269609306931,0.008381595496185352,0.1752526864985462,0.008759676279392054,0.0070238823621901906,0.011480214193873767,0.3414640585842163,0.04565515515112275,70.23882362190191,114.80214193873768,6215492.3,447396.5103276337,8147273.3,447236.14948705916,76.85502968000655,8.437078306933634
feature_sensitivity,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,Full-Contextual,Full,0.5,10,0.00723763614094626,0.00884869169660621,0.1763958346286986,0.010770821269424838,0.004385782013200756,0.0052305022795530644,0.35510248768322944,0.04873769945397732,43.85782013200756,52.30502279553065,17315493.4,168076.57005808063,19221887.9,168426.3650425115,130.11053156999841,23.928668224935127
