dataset_protocol,beta,method,endpoint,fraction_of_full_final,n_seeds,reached_seeds,reached_fraction,mean_E2E_broadcast_bytes_when_reached,mean_round_when_reached,mean_target_value
CICIDS2017_COVERAGE_R1,0.2,Utility-Only,PR_AUC,0.95,10,10,1.0,214501.6,0.2,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.4,CB-Score,F1,0.9,10,10,1.0,739403.1,1.5,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.4,CB-Score,F1,0.95,10,10,1.0,796094.3,1.7,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.4,CB-Score,PR_AUC,0.9,10,10,1.0,385668.8,0.4,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.4,CB-Score,PR_AUC,0.95,10,10,1.0,500389.7,0.8,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.4,Cost-Only,F1,0.9,10,9,0.9,854459.1111111111,1.7777777777777777,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.4,Cost-Only,F1,0.95,10,9,0.9,923965.5555555555,2.0,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.4,Cost-Only,PR_AUC,0.9,10,10,1.0,739258.0,1.4,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.4,Cost-Only,PR_AUC,0.95,10,10,1.0,764798.6,1.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.4,Full-Contextual,F1,0.9,10,10,1.0,3051563.0,3.4,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.4,Full-Contextual,F1,0.95,10,10,1.0,3872692.2,4.6,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.4,Full-Contextual,PR_AUC,0.9,10,10,1.0,697578.7,0.0,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.4,Full-Contextual,PR_AUC,0.95,10,10,1.0,2409103.2,2.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.4,Historical-DoubleCost,F1,0.9,10,10,1.0,1398178.0,3.6,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.4,Historical-DoubleCost,F1,0.95,10,10,1.0,1518583.2,4.0,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.4,Historical-DoubleCost,PR_AUC,0.9,10,10,1.0,385668.8,0.4,0.029976952257570483
