dataset_protocol,beta,method,endpoint,n_seeds,normalized_auc_mean,normalized_auc_sd,end_value_mean
CICIDS2017_COVERAGE_R1,0.6,Full-Contextual,validation_PR_AUC,10,0.029305705207532142,0.002099151074200335,0.027823976523936592
CICIDS2017_COVERAGE_R1,0.6,Historical-DoubleCost,validation_F1,10,0.0012120142361117623,0.0022623299218142616,0.0004650699469057141
CICIDS2017_COVERAGE_R1,0.6,Historical-DoubleCost,validation_FPR,10,0.019089169055780415,0.01436640387220147,0.01194645336569819
CICIDS2017_COVERAGE_R1,0.6,Historical-DoubleCost,validation_PR_AUC,10,0.02910789661366795,0.002067583066076298,0.0300056716661347
CICIDS2017_COVERAGE_R1,0.6,Oort-Style-Adapted,validation_F1,10,0.004970038061278041,0.004274641464460219,0.00043941032394245803
CICIDS2017_COVERAGE_R1,0.6,Oort-Style-Adapted,validation_FPR,10,0.027507196257555683,0.023355009716323843,0.01159939648238114
CICIDS2017_COVERAGE_R1,0.6,Oort-Style-Adapted,validation_PR_AUC,10,0.030722624551353182,0.0024230897801930454,0.03221623850606394
CICIDS2017_COVERAGE_R1,0.6,Oracle-Score-Exact,validation_F1,10,0.0006339280519927032,0.0005051017423786674,0.0007994988581836782
CICIDS2017_COVERAGE_R1,0.6,Oracle-Score-Exact,validation_FPR,10,0.019238358074096823,0.014315929193774835,0.013139125136578542
CICIDS2017_COVERAGE_R1,0.6,Oracle-Score-Exact,validation_PR_AUC,10,0.02902983480802756,0.002099635135986828,0.02998272456245302
CICIDS2017_COVERAGE_R1,0.6,Random-Budget,validation_F1,10,0.0008059166574088364,0.00129812541973943,0.0003704137478299993
CICIDS2017_COVERAGE_R1,0.6,Random-Budget,validation_FPR,10,0.049789874218125106,0.04519216322686255,0.051519343344631985
CICIDS2017_COVERAGE_R1,0.6,Random-Budget,validation_PR_AUC,10,0.030284978174061537,0.002823484156496188,0.035946987348504725
CICIDS2017_COVERAGE_R1,0.6,Utility-Cost-Ratio,validation_F1,10,0.005968278263475707,0.007058969219573726,0.0003629362985530121
CICIDS2017_COVERAGE_R1,0.6,Utility-Cost-Ratio,validation_FPR,10,0.029129972306081994,0.02342425147096322,0.006851520255851086
CICIDS2017_COVERAGE_R1,0.6,Utility-Cost-Ratio,validation_PR_AUC,10,0.03078709193980455,0.0040783012380378545,0.03287977752969732
CICIDS2017_COVERAGE_R1,0.6,Utility-Only,validation_F1,10,0.005998940357997802,0.007031886211151994,0.0006230143219600321
CICIDS2017_COVERAGE_R1,0.6,Utility-Only,validation_FPR,10,0.029141185012190162,0.023422535846322343,0.007346809107655098
CICIDS2017_COVERAGE_R1,0.6,Utility-Only,validation_PR_AUC,10,0.03092043725564125,0.0039891394702919435,0.034400389406482206
CICIDS2017_COVERAGE_R1,0.8,CB-Score,validation_F1,10,0.0015833652299249623,0.003001886672645976,0.0003508855248147699
CICIDS2017_COVERAGE_R1,0.8,CB-Score,validation_FPR,10,0.027567162158913305,0.022028530189462957,0.0239230851529975
CICIDS2017_COVERAGE_R1,0.8,CB-Score,validation_PR_AUC,10,0.028905431042614973,0.0024195080950070043,0.02945610112252362
CICIDS2017_COVERAGE_R1,0.8,Cost-Only,validation_F1,10,0.00036809254522089153,0.0004408308514349011,0.0004679246265841032
CICIDS2017_COVERAGE_R1,0.8,Cost-Only,validation_FPR,10,0.03590845397981215,0.04247113348620333,0.03211876709844884
