hypothesis_id,family,family_size,dataset,beta,comparison,endpoint,null,alternative,test,multiplicity,status,threshold_analysis,mean_delta,ci_low,ci_high,one_sided_lower_95,one_sided_upper_95,raw_p,margin,paired_dz,wins,losses,ties,holm_adjusted_p,decision
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.2__vs_Utility-Cost-Ratio,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Utility-Cost-Ratio,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.10429990380900593,-0.24610826141253642,-0.0023381644534673264,-0.21596288904685765,-0.0042067369161548915,0.9638671875,0.0,-0.492461058378825,4,6,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.2__vs_Oort-Style-Adapted,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Oort-Style-Adapted,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.12848741946316827,-0.2283844178316107,-0.03600705570805005,-0.2108805664741515,-0.05290006875102996,0.994140625,0.0,-0.7873779394731638,2,8,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.4__vs_Utility-Only,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Utility-Only,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.002111217776165014,-0.0074129177769513615,0.0027290512318782394,-0.006541664047087302,0.0019810800343446552,0.7646484375,0.0,-0.24364856490025813,3,7,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.4__vs_Utility-Cost-Ratio,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Utility-Cost-Ratio,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.004874313383050907,-0.01081558946628821,0.0007300646648333865,-0.009725013598743138,-8.49033610064736e-05,0.90625,0.0,-0.4984992689214903,1,9,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.4__vs_Oort-Style-Adapted,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Oort-Style-Adapted,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.002066665172634974,2.5564752874511677e-05,0.00464077048671458,0.0002877918884813859,0.004198935721131124,0.0947265625,0.0,0.5198546324339313,5,5,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.6__vs_Utility-Only,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Utility-Only,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.0016111971579147767,-0.007888397786409398,0.004532992550274605,-0.007132798730544424,0.0039239310252717095,0.728515625,0.0,-0.15010112585059213,3,7,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.6__vs_Utility-Cost-Ratio,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Utility-Cost-Ratio,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.0021285619643077723,-0.00837268254528887,0.004097720442740235,-0.008158146362845379,0.003955457703502136,0.78515625,0.0,-0.18469321254379928,3,7,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.6__vs_Oort-Style-Adapted,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Oort-Style-Adapted,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.002075713455390968,-0.008403964133034248,0.0043036298199250885,-0.008287124731470365,0.004169215380919612,0.6767578125,0.0,-0.1754221365952525,4,6,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.8__vs_Utility-Only,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.8,CB-Score minus Utility-Only,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.04268946587570902,-0.12660183427293575,0.002476668000792018,-0.1234620948367672,0.0014529084220442255,0.818359375,0.0,-0.32792261489649693,5,5,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.8__vs_Utility-Cost-Ratio,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.8,CB-Score minus Utility-Cost-Ratio,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.04269550831063988,-0.12661582535915408,0.0022718532226313126,-0.1240990107732966,0.0013910094489340248,0.818359375,0.0,-0.32797484289512485,5,5,0,1.0,INCONCLUSIVE
SAME_BUDGET_F1__CICIDS2017_COVERAGE_R1__b0.8__vs_Oort-Style-Adapted,SAME_BUDGET_F1,36,CICIDS2017_COVERAGE_R1,0.8,CB-Score minus Oort-Style-Adapted,F1,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.0019945010791899893,-0.007677142795496178,0.0029904840661688667,-0.006823914693447056,0.002807724658648803,0.6845703125,0.0,-0.21284930537221364,6,4,0,1.0,INCONCLUSIVE
