dataset_protocol,aggregation,model_attack,reported_utility,n_seeds,test_F1_mean,test_F1_sd,test_PR_AUC_mean,test_PR_AUC_sd,test_FPR_mean,test_FPR_sd,mean_malicious_selection_rate_mean,mean_malicious_selection_rate_sd,mean_malicious_budget_fraction_mean,mean_malicious_budget_fraction_sd,malicious_reported_utility_mean_mean,malicious_reported_utility_mean_sd,malicious_actual_utility_mean_mean,malicious_actual_utility_mean_sd,benign_reported_utility_mean_mean,benign_reported_utility_mean_sd
CICIDS2017_COVERAGE_R1,Norm-Clipped-Averaging,sign-flip,forged_inflated,10,0.30437145162349144,0.16041784031033127,0.23492184700999763,0.0,0.8,0.4216370213557839,0.9966666666666667,0.00749942841900616,0.996699143705571,0.007429354859290381,1.0201865998608366,0.01072969535418098,0.020186599860836565,0.010729695354181003,0.020820981771382127,0.010338040292541362
CICIDS2017_COVERAGE_R1,Norm-Clipped-Averaging,sign-flip,honest,10,0.04264262026200388,0.11939418031640757,0.20396962110431618,0.03698149152190557,0.11318947631076125,0.3102111693978549,0.13749999999999998,0.08792153020307954,0.13894858280972874,0.08876119535929318,0.10789166367532586,0.09151170174562238,0.10789166367532586,0.09151170174562238,0.0974278455777656,0.060292319071588746
CICIoT2023_R1,FedAvg,clean,forged_inflated,10,0.9180178140739033,0.01448855470936947,0.9873864967622956,0.0010629298966701567,0.04444989300998573,0.015724389254576844,0.8025,0.1225126319737736,0.8024248242722605,0.12241309935524841,1.0522288981774024,0.0853829226595602,0.05222889817740247,0.08538292265956024,0.10265804453518511,0.14240374019089977
CICIoT2023_R1,FedAvg,clean,honest,10,0.9154162234094376,0.014470992477167245,0.987542664249374,0.0008182416892775541,0.041280313837375175,0.01791625553124613,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.01647178754914241,0.02677274274960809
CICIoT2023_R1,FedAvg,label-flip,forged_inflated,10,0.6858582738515671,0.3561047694418972,0.9152741021541917,0.12818922518251208,0.033340763195435094,0.018126469371192798,0.7097222222222223,0.1126152054534117,0.7089610784051643,0.11258154604865853,0.7801000534050133,0.21299114601496993,-0.21989994659498666,0.21299114601496988,0.49325241193501074,0.2142474076615837
CICIoT2023_R1,FedAvg,label-flip,honest,10,0.9136077659021132,0.008543847211245594,0.9854670158677611,0.0028992639079508603,0.04306348074179743,0.012903888806285723,0.09555555555555555,0.05127322652782236,0.09445003500843097,0.050818200098161126,-0.34704263641941757,0.10599662105152094,-0.34704263641941757,0.10599662105152094,0.04627008626317395,0.04112049722439756
CICIoT2023_R1,FedAvg,sign-flip,forged_inflated,10,0.31167607822563254,0.4056902590031563,0.7398778818947362,0.02014135680080156,0.4,0.5163977794943223,0.9105555555555556,0.15563710384506152,0.911767926511266,0.1540568156351131,1.0285951917320941,0.024220078349352112,0.028595191732094093,0.02422007834935208,0.028007743265791134,0.02253679970873091
CICIoT2023_R1,FedAvg,sign-flip,honest,10,0.9011952215813264,0.02850909329897002,0.922844265463222,0.13283826232361692,0.23018009985734664,0.40600258909383496,0.05222222222222222,0.046495866152519154,0.05289662167455977,0.047074306701392184,0.022012617294756107,0.050352275772054055,0.022012617294756107,0.050352275772054055,0.0506660644214455,0.049199946775676184
CICIoT2023_R1,Norm-Clipped-Averaging,clean,forged_inflated,10,0.9169662073537925,0.014328260068207798,0.987175186232613,0.0009453576899661314,0.04297432239657632,0.01527971327990864,0.7941666666666667,0.13758305883923733,0.794088731033431,0.13729182229626014,1.0462842011762452,0.08744587552099607,0.04628420117624513,0.08744587552099611,0.10460661861732028,0.14414341282706092
CICIoT2023_R1,Norm-Clipped-Averaging,clean,honest,10,0.9162375915672438,0.01421450563738526,0.9875721427056772,0.0011703790320758444,0.04424928673323823,0.015581357238235399,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.01582237975524001,0.03460699103885693
CICIoT2023_R1,Norm-Clipped-Averaging,label-flip,forged_inflated,10,0.40074571698386735,0.4214824869985685,0.8758865967892555,0.09610911025733515,0.031116262482168332,0.01560166312179294,0.6977777777777778,0.10034064067014929,0.696518976898479,0.09992271526065814,0.8204622319719483,0.23202074931482136,-0.17953776802805163,0.23202074931482133,0.49469774646416503,0.2264092799010506
CICIoT2023_R1,Norm-Clipped-Averaging,label-flip,honest,10,0.9200497865828876,0.0041082821359076085,0.9868395246126752,0.001210883031162645,0.0478601997146933,0.0026079726172318486,0.10388888888888889,0.05963710558150787,0.10268414170889752,0.05910913698139856,-0.3494353752768025,0.11113411982368113,-0.3494353752768025,0.11113411982368113,0.037371403259790485,0.0430075561176639
CICIoT2023_R1,Norm-Clipped-Averaging,sign-flip,forged_inflated,10,0.31041365621453604,0.40437814926384585,0.7395881585797959,0.02078285203051159,0.4,0.5163977794943223,0.9055555555555556,0.15203241297610218,0.9069637368748306,0.14978311572775102,1.0323722696734565,0.03015140824529709,0.03237226967345656,0.030151408245297075,0.032384337923563544,0.030831212915605487
CICIoT2023_R1,Norm-Clipped-Averaging,sign-flip,honest,10,0.9108568722178382,0.020886152092489937,0.9617686587666048,0.07699844510438124,0.13641226818830243,0.30381602828356113,0.06555555555555555,0.07148483968315764,0.06636906412500897,0.0722444747633691,0.014794091078214425,0.0767280763613011,0.014794091078214425,0.0767280763613011,0.03509890729622604,0.028397078107457206
