dataset_protocol,selection,aggregation,model_attack,reported_utility,n_seeds,test_F1_mean,delta_test_F1_vs_clean,test_PR_AUC_mean,delta_test_PR_AUC_vs_clean,test_FPR_mean,delta_test_FPR_vs_clean,mean_malicious_selection_rate,mean_malicious_budget_fraction
CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,forged_inflated,10,0.30437145162349144,0.299377534563192,0.23492184700999763,0.05304633719858279,0.8,0.7918122498367851,0.9966666666666667,0.996699143705571
CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,honest,10,0.04264262026200388,0.03764870320170445,0.20396962110431618,0.02209411129290134,0.11318947631076125,0.1050017261475463,0.13749999999999998,0.13894858280972874
CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,clean,honest,10,0.004252422535036786,0.0,0.17374355098046187,0.0,0.0012291537775286352,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,label-flip,honest,10,0.009464452513138794,0.005212029978102007,0.2214094971827228,0.04766594620226092,0.008277646560181023,0.007048492782652387,0.30000000000000004,0.29997709253588517
CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,sign-flip,honest,10,0.24119946543817172,0.23694704290313492,0.24672754981071982,0.07298399883025794,0.5520202762519697,0.5507911224744411,0.30000000000000004,0.30804255906526523
CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,10,0.0032371692112913597,0.0,0.17468168063249764,0.0,0.005444371904470551,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,10,0.009342851507011559,0.0061056822957201995,0.20982726186015802,0.03514558122766037,0.00852716887875608,0.0030827969742855286,0.30000000000000004,0.2999662056693778
CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,10,0.04190283444853485,0.03866566523724349,0.2059740225265867,0.031292341894089054,0.121921390215307,0.11647701831083644,0.30000000000000004,0.3035919181995999
CICIoT2023_R1,CB-Score,FedAvg,clean,forged_inflated,10,0.9180178140739033,0.002601590664465636,0.9873864967622956,-0.00015616748707836248,0.04444989300998573,0.0031695791726105566,0.8025,0.8024248242722605
CICIoT2023_R1,CB-Score,FedAvg,clean,honest,10,0.9154162234094376,0.0,0.987542664249374,0.0,0.041280313837375175,0.0,0.0,0.0
CICIoT2023_R1,CB-Score,FedAvg,label-flip,forged_inflated,10,0.6858582738515671,-0.22955794955787057,0.9152741021541917,-0.07226856209518229,0.033340763195435094,-0.007939550641940081,0.7097222222222223,0.7089610784051643
