dataset_protocol,metadata_view,attacker,target,n_seeds,mean_auc_mean,mean_auc_sd,fold_mean_auc_mean,fold_mean_auc_sd,auc_ci_low_mean,auc_ci_low_sd,auc_ci_high_mean,auc_ci_high_sd,group_overlap_max_mean,group_overlap_max_sd,observations_mean,observations_sd,groups_mean,groups_sd
CICIoT2023_R1,No-Size,LogisticRegression,client_size_above_seed_median,10,0.5304399111111111,0.01466314677972216,0.5309769481968648,0.009580139195488028,0.4857058616463365,0.016605731472980098,0.5771246811912105,0.012723140496884522,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,No-Size,MLP,attack_ratio_above_seed_median,10,0.5862712888888889,0.019179418049476874,0.6113650945875112,0.007496324963373456,0.5494483744584333,0.02454993904699013,0.6263689046122355,0.01568639080383961,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,No-Size,MLP,client_size_above_seed_median,10,0.46120164444444445,0.017915604295102933,0.5058287393748228,0.01904111832541135,0.4129978222543685,0.024074138745602294,0.5215376030825438,0.019536305265203145,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,No-Size,RandomForest,attack_ratio_above_seed_median,10,0.5942337777777777,0.012169882835076059,0.5981150520282187,0.010126288770806728,0.5594374659965032,0.01828339635951759,0.6262634686153585,0.009910157106270003,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,No-Size,RandomForest,client_size_above_seed_median,10,0.5116332,0.02482314693331563,0.5090806429789346,0.023413607808825402,0.48248830164650397,0.024508744790294343,0.5417254376895451,0.02383679484695095,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,10,0.7137958666666666,0.010137400985739833,0.7237254283956784,0.012392779185799679,0.6545204336604817,0.012696806962382772,0.7765158535500232,0.008318904791889143,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,10,0.9690046222222223,0.0018309376065467739,0.9689512259376426,0.004236858761164937,0.9438291690651472,0.00153607875514783,0.9888295716348925,0.0013706529944682916,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,10,0.6844552444444445,0.013657065540961721,0.7096568028730529,0.011175409444829861,0.6184460415084116,0.021858165710567434,0.7596133122739068,0.013250193774996838,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Noisy-Quantized,MLP,client_size_above_seed_median,10,0.9566517777777778,0.01027176070353169,0.965677977013727,0.007137813530653239,0.9306254899565329,0.010754660433684936,0.9826676045693377,0.006313727239721083,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,10,0.6153525111111111,0.020209993227095158,0.6334942759462759,0.013314568642252316,0.5488846031284057,0.030486916837221736,0.6942457813763271,0.011907130221610484,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Noisy-Quantized,RandomForest,client_size_above_seed_median,10,0.9305743333333333,0.008754718175316575,0.9399625285439869,0.007267236787025506,0.8986042870491686,0.009764023003860393,0.9639126118135457,0.0075369252866583514,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Raw,LogisticRegression,attack_ratio_above_seed_median,10,0.7580155111111112,0.007169732632949661,0.779592348278265,0.012077181477200421,0.6998983933794617,0.008446345506405956,0.8247569994387259,0.0069256385830045375,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Raw,LogisticRegression,client_size_above_seed_median,10,0.9650965777777777,0.002550888449439035,0.9632166470535637,0.004420362068799427,0.9360907995411785,0.003587559469009985,0.9874274073520719,0.0016852440664423102,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Raw,MLP,attack_ratio_above_seed_median,10,0.7461543555555555,0.017867443209031983,0.775582238277155,0.014463959194727611,0.6897602262030248,0.023286086622583715,0.8090644056057471,0.012798351005458735,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Raw,MLP,client_size_above_seed_median,10,0.9452776444444444,0.007006723841218927,0.9544215130270963,0.004654795291589005,0.910233047840244,0.01126412892032846,0.9776772105362889,0.004973236901148707,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Raw,RandomForest,attack_ratio_above_seed_median,10,0.7499685333333334,0.007566470330622939,0.7735149583595416,0.015178262796295,0.6817996283666637,0.021223702258883856,0.8193551142328429,0.006942262464807373,0.0,0.0,3000.0,0.0,10.0,0.0
