dataset_protocol,selection,aggregation,model_attack,reported_utility,n_seeds,test_F1_mean,test_F1_sd,test_PR_AUC_mean,test_PR_AUC_sd,test_FPR_mean,test_FPR_sd,mean_malicious_selection_rate_mean,mean_malicious_selection_rate_sd,mean_malicious_budget_fraction_mean,mean_malicious_budget_fraction_sd,malicious_reported_utility_mean_mean,malicious_reported_utility_mean_sd,malicious_actual_utility_mean_mean,malicious_actual_utility_mean_sd,benign_reported_utility_mean_mean,benign_reported_utility_mean_sd,malicious_update_norm_mean_mean,malicious_update_norm_mean_sd,benign_update_norm_mean_mean,benign_update_norm_mean_sd,malicious_cosine_to_benign_mean_mean,malicious_cosine_to_benign_mean_sd,clean_F1_mean,clean_F1_sd,clean_PR_AUC_mean,clean_PR_AUC_sd,clean_FPR_mean,clean_FPR_sd,attack_success_F1_drop_mean,attack_success_F1_drop_sd,attack_success_PR_AUC_drop_mean,attack_success_PR_AUC_drop_sd,attack_success_FPR_increase_mean,attack_success_FPR_increase_sd,honest_F1_mean,honest_F1_sd,honest_PR_AUC_mean,honest_PR_AUC_sd,honest_FPR_mean,honest_FPR_sd,honest_malicious_selection_rate_mean,honest_malicious_selection_rate_sd,honest_malicious_budget_fraction_mean,honest_malicious_budget_fraction_sd,forged_minus_honest_F1_mean,forged_minus_honest_F1_sd,forged_minus_honest_PR_AUC_mean,forged_minus_honest_PR_AUC_sd,forged_minus_honest_FPR_mean,forged_minus_honest_FPR_sd,forged_minus_honest_malicious_selection_rate_mean,forged_minus_honest_malicious_selection_rate_sd,forged_minus_honest_malicious_budget_fraction_mean,forged_minus_honest_malicious_budget_fraction_sd
CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,forged_inflated,10,0.30437145162349144,0.16041784031033127,0.23492184700999763,0.0,0.8,0.4216370213557839,0.9966666666666667,0.00749942841900616,0.996699143705571,0.007429354859290381,1.0201865998608366,0.01072969535418098,0.020186599860836565,0.010729695354181003,0.020820981771382127,0.010338040292541362,12.324596522192769,0.7874541253276588,2.3820610647444114,0.18169229196694525,-0.978290559053421,0.019040064096989034,0.005688644263502409,0.0066656670207323925,0.1827240875565809,0.018324340389519425,0.0022381810164787273,0.0026909788429364256,-0.29868280735998903,0.15934629949581441,-0.05219775945341673,0.018324340389519425,0.7977618189835213,0.42153156015380094,0.04264262026200388,0.11939418031640757,0.20396962110431618,0.03698149152190557,0.11318947631076125,0.3102111693978549,0.13749999999999998,0.08792153020307954,0.13894858280972874,0.08876119535929318,0.26172883136148756,0.18178440646459054,0.030952225905681446,0.03698149152190557,0.6868105236892388,0.47334101944070034,0.8591666666666666,0.0907884417327634,0.8577505608958422,0.09159815360403649
CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,honest,10,0.04264262026200388,0.11939418031640757,0.20396962110431618,0.03698149152190557,0.11318947631076125,0.3102111693978549,0.13749999999999998,0.08792153020307954,0.13894858280972874,0.08876119535929318,0.10789166367532586,0.09151170174562238,0.10789166367532586,0.09151170174562238,0.0974278455777656,0.060292319071588746,7.1333146920664765,2.401439264019463,1.3519623484452574,0.3495943247769559,-0.7516682727552123,0.1512243554642495,0.0049939170602994335,0.006576163100008575,0.18187550981141484,0.016291373199674705,0.008187750163214942,0.009654391336043927,-0.03764870320170445,0.12023747122055327,-0.022094111292901335,0.03742268485069654,0.1050017261475463,0.3069654895011671,0.04264262026200388,0.11939418031640757,0.20396962110431618,0.03698149152190557,0.11318947631076125,0.3102111693978549,0.13749999999999998,0.08792153020307954,0.13894858280972874,0.08876119535929318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,clean,honest,10,0.004252422535036786,0.004423489927978709,0.17374355098046187,0.007601204948891591,0.0012291537775286352,0.0018202591321881349,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.07307942039905062,0.038786347038668546,nan,nan,0.9958815855857949,0.03738730955226338,nan,nan,0.004252422535036786,0.004423489927978709,0.17374355098046187,0.007601204948891591,0.0012291537775286352,0.0018202591321881349,0.0,0.0,0.0,0.0,0.0,0.0,0.004252422535036786,0.004423489927978709,0.17374355098046187,0.007601204948891591,0.0012291537775286352,0.0018202591321881349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,label-flip,honest,10,0.009464452513138794,0.009860935224481,0.2214094971827228,0.036749711992746764,0.008277646560181023,0.010273327231595429,0.30000000000000004,0.0,0.29997709253588517,0.0004099026410465001,-0.3711752300990498,0.12798212103730497,-0.3711752300990498,0.12798212103730497,0.16710294648822194,0.09571976078504318,1.421653323942092,0.1841218087733546,1.100398680724315,0.0942583013880934,-0.42020314718596635,0.15796558303248098,0.004252422535036786,0.004423489927978709,0.17374355098046187,0.007601204948891591,0.0012291537775286352,0.0018202591321881349,-0.005212029978102007,0.008584806023986008,-0.04766594620226091,0.03510830577195474,0.007048492782652387,0.011065666969354633,0.009464452513138794,0.009860935224481,0.2214094971827228,0.036749711992746764,0.008277646560181023,0.010273327231595429,0.30000000000000004,0.0,0.29997709253588517,0.0004099026410465001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,sign-flip,honest,10,0.24119946543817172,0.20893960135823886,0.24672754981071982,0.026191098627172033,0.5520202762519697,0.4813992178302814,0.30000000000000004,0.0,0.30804255906526523,0.004455316011752462,0.1462972386161865,0.21877810046509924,0.1462972386161865,0.21877810046509924,0.12480154887164502,0.1617513343155152,11.171990126608105,1.6377156787548381,2.088387769072083,0.3689503470680153,-0.9028771824306911,0.11319194184888641,0.004252422535036786,0.004423489927978709,0.17374355098046187,0.007601204948891591,0.0012291537775286352,0.0018202591321881349,-0.23694704290313492,0.20787062420597194,-0.07298399883025794,0.025155281850231016,0.5507911224744411,0.481134234278441,0.24119946543817172,0.20893960135823886,0.24672754981071982,0.026191098627172033,0.5520202762519697,0.4813992178302814,0.30000000000000004,0.0,0.30804255906526523,0.004455316011752462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,10,0.0032371692112913597,0.0010110511580390651,0.17468168063249764,0.007087446754437481,0.005444371904470551,0.015592611298961794,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0716647584525811,0.03998106784437405,nan,nan,0.9955114325332971,0.0359370083971957,nan,nan,0.0032371692112913597,0.0010110511580390651,0.17468168063249764,0.007087446754437481,0.005444371904470551,0.015592611298961794,0.0,0.0,0.0,0.0,0.0,0.0,0.0032371692112913597,0.0010110511580390651,0.17468168063249764,0.007087446754437481,0.005444371904470551,0.015592611298961794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,10,0.009342851507011559,0.009746466419151402,0.20982726186015802,0.028501641041474724,0.00852716887875608,0.011114178672281825,0.30000000000000004,0.0,0.2999662056693778,0.0004878287871457739,-0.3749395103728614,0.13750657074042047,-0.3749395103728614,0.13750657074042047,0.16459587070406465,0.09857666480123665,1.4365665122467803,0.19732875262392455,1.0972122068020176,0.10025468776490833,-0.3993903283536848,0.16849351025725592,0.0032371692112913597,0.0010110511580390651,0.17468168063249764,0.007087446754437481,0.005444371904470551,0.015592611298961794,-0.0061056822957201995,0.009452523589751542,-0.03514558122766037,0.02844942112845958,0.003082796974285529,0.02132573445361606,0.009342851507011559,0.009746466419151402,0.20982726186015802,0.028501641041474724,0.00852716887875608,0.011114178672281825,0.30000000000000004,0.0,0.2999662056693778,0.0004878287871457739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,10,0.04190283444853485,0.12051357057215911,0.2059740225265867,0.038210815760856214,0.121921390215307,0.3074533687541497,0.30000000000000004,0.0,0.3035919181995999,0.0007981161623554884,0.19844904416372305,0.18874677876934978,0.19844904416372305,0.18874677876934978,0.19523606019403011,0.17288853049365868,7.9319075957414675,2.2407119748978443,1.433155878470465,0.35415746387606073,-0.8145439422792858,0.1433122394819359,0.0032371692112913597,0.0010110511580390651,0.17468168063249764,0.007087446754437481,0.005444371904470551,0.015592611298961794,-0.03866566523724349,0.12054579092447198,-0.031292341894089054,0.03758296478399724,0.11647701831083646,0.3100031059310294,0.04190283444853485,0.12051357057215911,0.2059740225265867,0.038210815760856214,0.121921390215307,0.3074533687541497,0.30000000000000004,0.0,0.3035919181995999,0.0007981161623554884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICIoT2023_R1,CB-Score,FedAvg,clean,forged_inflated,10,0.9180178140739033,0.01448855470936947,0.9873864967622956,0.0010629298966701567,0.04444989300998573,0.015724389254576844,0.8025,0.1225126319737736,0.8024248242722605,0.12241309935524841,1.0522288981774024,0.0853829226595602,0.05222889817740247,0.08538292265956024,0.10265804453518511,0.14240374019089977,0.9163004054103208,0.10721092171337705,0.9547033840461145,0.11327599384272315,0.4205481567069526,0.11338528099359703,0.9180178140739033,0.01448855470936947,0.9873864967622956,0.0010629298966701567,0.04444989300998573,0.015724389254576844,0.0,0.0,0.0,0.0,0.0,0.0,0.9154162234094376,0.014470992477167245,0.987542664249374,0.0008182416892775541,0.041280313837375175,0.01791625553124613,0.0,0.0,0.0,0.0,0.0026015906644656916,0.007727328495332045,-0.00015616748707836248,0.0013743117043002744,0.0031695791726105566,0.008484458798803654,0.8025,0.1225126319737736,0.8024248242722605,0.12241309935524841
CICIoT2023_R1,CB-Score,FedAvg,clean,honest,10,0.9154162234094376,0.014470992477167245,0.987542664249374,0.0008182416892775541,0.041280313837375175,0.01791625553124613,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.01647178754914241,0.02677274274960809,nan,nan,0.9307288416319529,0.08154276217998437,nan,nan,0.9154162234094376,0.014470992477167245,0.987542664249374,0.0008182416892775541,0.041280313837375175,0.01791625553124613,0.0,0.0,0.0,0.0,0.0,0.0,0.9154162234094376,0.014470992477167245,0.987542664249374,0.0008182416892775541,0.041280313837375175,0.01791625553124613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
