dataset_protocol,metadata_view,attacker,target,client_id,n_observations,positive_rate,mean_oriented_oof_score,median_oriented_oof_score,client_group_auc
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,7,300,0.3,0.49810612778805685,0.49791523508779256,0.5182539682539683
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,8,300,0.7,0.5002216955573605,0.5001997417650419,0.5895767195767196
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,9,300,0.8,0.4934220246717683,0.5042166199547327,0.3879861111111111
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,0,300,0.6,0.4956265755232586,0.5343450409422785,0.5006481481481482
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,1,300,0.6,0.5118503986123225,0.528772486453357,0.5675
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,2,300,0.5,0.4898553870523829,0.514735460490682,0.8872
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,3,300,0.4,0.49328478686950095,0.5365638903591151,0.7139351851851852
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,4,300,0.3,0.511763759960637,0.537000612403913,0.7995767195767196
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,5,300,0.5,0.4772824557256287,0.5029943990877831,0.8205777777777779
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,6,300,0.6,0.5082364259194825,0.5288136407436879,0.5507407407407408
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,7,300,0.7,0.5038446664291801,0.5148122233682915,0.45576719576719577
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,8,300,0.5,0.4771704888442423,0.5291830525263419,0.49577777777777776
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,9,300,0.3,0.5110524455941845,0.5383145333805955,0.6195238095238095
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,client_size_above_seed_median,0,300,0.4,0.5096252877786535,0.4998181379856448,0.38680555555555557
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,client_size_above_seed_median,1,300,0.7,0.47991003322405096,0.47087324126017194,0.5062962962962962
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,client_size_above_seed_median,2,300,0.6,0.5129553698683832,0.5113016471686402,0.5330092592592593
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,client_size_above_seed_median,3,300,0.2,0.5064727298009982,0.5017744085225109,0.4222222222222222
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,client_size_above_seed_median,4,300,0.6,0.5096143774288151,0.5053728547297658,0.382037037037037
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,client_size_above_seed_median,5,300,0.3,0.516698363891099,0.5029328731525602,0.5516931216931217
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,client_size_above_seed_median,6,300,0.4,0.5067841941958516,0.506487512540231,0.470787037037037
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,client_size_above_seed_median,7,300,0.3,0.503017783165111,0.5062286518833747,0.4704232804232804
