dataset_protocol,selection_method,aggregation_method,attack,utility_report,n_seeds,focal_beta,test_F1_mean,test_F1_ci_low,test_F1_ci_high,test_PR_AUC_mean,test_PR_AUC_ci_low,test_PR_AUC_ci_high,test_FPR_mean,test_FPR_ci_low,test_FPR_ci_high,malicious_share_selected_uplink_mean,malicious_share_selected_uplink_ci_low,malicious_share_selected_uplink_ci_high
CICIoT2023_R1,CB-FedSelect,FedAvg,label-flip,forged_inflated,10,0.4,0.6858582738515671,0.4611207870555271,0.8835973183518891,0.9152741021541916,0.8309571031867033,0.9777956914029108,0.033340763195435,0.0225303138373751,0.0440223787446504,0.7089610784051643,0.6379137587959386,0.7722638534925412
CICIoT2023_R1,CB-FedSelect,FedAvg,label-flip,honest,10,0.4,0.9136077659021132,0.9078520566789456,0.9177382420314928,0.985467015867761,0.9835698815332156,0.986894076499551,0.0430634807417973,0.034464158345221,0.048323823109843,0.0944500350084309,0.0660275753161524,0.1257013823136102
CICIoT2023_R1,CB-FedSelect,FedAvg,sign-flip,forged_inflated,10,0.4,0.3116760782256325,0.07069876942631,0.5537286218994556,0.7398778818947362,0.72568077413356,0.7494275214190766,0.4,0.1,0.7,0.911767926511266,0.8138929841258369,0.9977956167714708
CICIoT2023_R1,CB-FedSelect,FedAvg,sign-flip,honest,10,0.4,0.9011952215813264,0.8834919294791738,0.9164610360901446,0.922844265463222,0.8295666659809849,0.9865827923546188,0.2301800998573466,0.0344059825249642,0.5167038159771755,0.0528966216745597,0.026690505839688,0.0818444127191722
CICIoT2023_R1,CB-FedSelect,Norm-Clipped-Averaging,clean,forged_inflated,10,0.4,0.9169662073537926,0.9074591842482816,0.9230118185833668,0.987175186232613,0.98665096787622,0.9877644277806548,0.0429743223965762,0.0326899072753208,0.0493892653352353,0.7940887310334311,0.7140625591420473,0.8748271160748666
CICIoT2023_R1,CB-FedSelect,Norm-Clipped-Averaging,clean,honest,10,0.4,0.9162375915672438,0.90670070251545,0.9223328605101574,0.9875721427056772,0.9868584092663631,0.9882235584953544,0.0442492867332381,0.0338623395149785,0.0506419400855919,0.0,0.0,0.0
CICIoT2023_R1,CB-FedSelect,Norm-Clipped-Averaging,label-flip,forged_inflated,10,0.4,0.4007457169838672,0.1561457768588679,0.6503795782069116,0.8758865967892555,0.8192400369932269,0.9310894020612565,0.0311162624821682,0.0216293687589157,0.0399251069900142,0.696518976898479,0.635406056417969,0.7516301494935439
CICIoT2023_R1,CB-FedSelect,Norm-Clipped-Averaging,label-flip,honest,10,0.4,0.9200497865828876,0.9176502442108336,0.9224843331864662,0.9868395246126752,0.9860667779055308,0.9874634157233656,0.0478601997146932,0.0462553495007132,0.0493090228245363,0.1026841417088974,0.0692736607634216,0.1380143546784553
CICIoT2023_R1,CB-FedSelect,Norm-Clipped-Averaging,sign-flip,forged_inflated,10,0.4,0.310413656214536,0.07069876942631,0.5524661998883591,0.7395881585797959,0.7251013275036794,0.7494275214190766,0.4,0.1,0.7,0.9069637368748305,0.8146219956859561,0.9966934251572062
CICIoT2023_R1,CB-FedSelect,Norm-Clipped-Averaging,sign-flip,honest,10,0.4,0.910856872217838,0.8969900113220379,0.920631719915819,0.9617686587666048,0.912636808717558,0.9873228705831466,0.1364122681883023,0.0326764220756062,0.3320347048858772,0.0663690641250089,0.0270965535096215,0.1113408701218949
CICIoT2023_R1,Full-Contextual,FedAvg,clean,honest,10,0.4,0.9218090119020944,0.9192112350700852,0.9244415058850446,0.9874069072980144,0.9869102623927252,0.9879578191402306,0.0470978958630527,0.0452210012482167,0.0488676890156917,0.0,0.0,0.0
CICIoT2023_R1,Full-Contextual,FedAvg,label-flip,honest,10,0.4,0.902985442339414,0.8951377682671033,0.9108282148336866,0.9784859003320387,0.9759357318292248,0.9813150525343128,0.0457426890156918,0.0426800998573465,0.0488143054564906,0.2982544141722344,0.2967305106773677,0.2995276169197872
CICIoT2023_R1,Full-Contextual,FedAvg,sign-flip,honest,10,0.4,0.5341479808077022,0.2783176691068201,0.7590670781937544,0.8492449370353882,0.7708227221775177,0.927628395626923,0.2234620185449357,0.0217988810627674,0.5125713266761769,0.3037782698475595,0.3013318450598328,0.3060715208200232
CICIoT2023_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,10,0.4,0.9219531841700797,0.9195269770520432,0.924576397986687,0.9875528787401576,0.9870290710884758,0.9881217789056717,0.0457649786019971,0.0439327746077032,0.0477175463623394,0.0,0.0,0.0
CICIoT2023_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,10,0.4,0.9066941146718616,0.8976343887560058,0.915168582179811,0.9806810631444808,0.978151462442166,0.9831956847326074,0.0453102710413694,0.0426132310984307,0.0481677960057061,0.2983957873876468,0.2969606063417099,0.2996600273479439
CICIoT2023_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,10,0.4,0.7273982013957845,0.4722439151220542,0.92428062871587,0.9493766298949404,0.8983268992771178,0.9860981598949832,0.0342011412268188,0.01951665032097,0.0472719775320969,0.3034201936445022,0.3020593198386254,0.3046805408725216
