phase,cell_id,dataset,dataset_protocol,method,beta,alpha_dir,seed,aggregation,model_attack,reported_utility,metric_accuracy,metric_balanced_accuracy,metric_f1,metric_false_negatives,metric_false_positives,metric_false_positives_per_10000_benign,metric_fpr,metric_pr_auc,metric_precision,metric_recall,metric_roc_auc,metric_threshold,metric_true_negatives,metric_true_positives,comm_E2E_broadcast,comm_E2E_unicast,comm_aggregation_seconds,comm_downlink_broadcast,comm_downlink_unicast,comm_empty_rounds,comm_full_candidate_airtime_us,comm_max_client_seconds,comm_metadata_wire,comm_selected_airtime_us,comm_selected_uplink,comm_server_selection_seconds,comm_sum_client_CPU_seconds,comm_wall_clock_seconds
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Full-Contextual__seed11,CICIDS2017,CICIDS2017_COVERAGE_R1,Full-Contextual,,1.0,11,FedAvg,clean,honest,0.7650493866225931,0.500528878518051,0.003151108990646532,89690,153,5.229714348216941,0.0005229714348216941,0.188907426891187,0.48135593220338985,0.0015807284709235016,0.4197204067310806,0.89,292406,142,20538256,38990929,0.06167749999440275,2050297,20502970,0,48236662.0,5.199192999963998,0,48236662.0,18487959,0.0002362999803153798,40.796163400125806,58.19726480002282
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Full-Contextual__seed123,CICIDS2017,CICIDS2017_COVERAGE_R1,Full-Contextual,,1.0,123,FedAvg,clean,honest,0.7624211866911094,0.4999644858713666,0.009615174970020714,89391,1457,49.80192029641884,0.004980192029641884,0.20453623071296828,0.23234984193888303,0.0049091637723751,0.47715660998259657,0.51,291102,441,20599367,39041240,0.061561199996504,2049097,20490970,0,48401576.0,5.23123929995927,0,48401576.0,18550270,0.00021020002895966172,41.81854599980579,59.08478119998472
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Full-Contextual__seed2026,CICIDS2017,CICIDS2017_COVERAGE_R1,Full-Contextual,,1.0,2026,FedAvg,clean,honest,0.7651775277137799,0.5006010516448706,0.0030864197530864196,89693,101,3.4522950926137974,0.00034522950926137977,0.18013659998832698,0.5791666666666667,0.0015473327990025826,0.37716693693540576,0.85,292458,139,20658193,39102586,0.060679099973640405,2049377,20493770,0,48445708.0,4.8205592999293,0,48445708.0,18608816,0.00022020000324118882,35.634366499769385,53.08982169996307
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Full-Contextual__seed2027,CICIDS2017,CICIDS2017_COVERAGE_R1,Full-Contextual,,1.0,2027,FedAvg,clean,honest,0.764858482547968,0.500338550256922,0.002772663753521283,89707,209,7.1438581619434025,0.0007143858161943403,0.1865729564160009,0.37425149700598803,0.0013914863300382937,0.4138905326316507,0.76,292350,125,20631387,39078687,0.06557160000375006,2049700,20497000,0,48396989.0,5.250431799999205,0,48396989.0,18581687,0.0002457999944454059,41.00581799985957,58.343427099986
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Full-Contextual__seed2718,CICIDS2017,CICIDS2017_COVERAGE_R1,Full-Contextual,,1.0,2718,FedAvg,clean,honest,0.7651043042331017,0.50058791004462,0.0032845824363612153,89684,138,4.716997255254496,0.00047169972552544957,0.18277469287450093,0.5174825174825175,0.0016475198147653397,0.39835800702649715,0.79,292421,148,20489903,38927897,0.060559799982002005,2048666,20486660,0,48039509.0,5.281908199976897,0,48039509.0,18441237,0.00022669995087198913,40.853484699779074,58.46035490000213
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Full-Contextual__seed314,CICIDS2017,CICIDS2017_COVERAGE_R1,Full-Contextual,,1.0,314,FedAvg,clean,honest,0.7646806540948924,0.5002763308193278,0.0030799228911391283,89693,291,9.946711603471437,0.0009946711603471437,0.18032952845017425,0.32325581395348835,0.0015473327990025826,0.37953713238307335,0.66,292268,139,20510773,38950846,0.0622029999649385,2048897,20488970,0,48126448.0,5.375522900023498,0,48126448.0,18461876,0.00023480004165321589,37.890359499971964,55.28962820004381
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Full-Contextual__seed3407,CICIDS2017,CICIDS2017_COVERAGE_R1,Full-Contextual,,1.0,3407,FedAvg,clean,honest,0.7651487613463706,0.5005899657948158,0.0031303073695427754,89691,114,3.8966499065145834,0.00038966499065145834,0.18309441776416435,0.5529411764705883,0.0015695965802831953,0.3877870003787786,0.84,292445,141,20453689,38890846,0.061982900006114505,2048573,20485730,0,47903433.0,4.972376899968367,0,47903433.0,18405116,0.00024929999199230224,38.393213700008346,55.65413830001489
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Full-Contextual__seed42,CICIDS2017,CICIDS2017_COVERAGE_R1,Full-Contextual,,1.0,42,FedAvg,clean,honest,0.7650912286115521,0.5005755078713936,0.0032622807114878884,89685,142,4.853721813377814,0.00048537218133778146,0.19352408836327445,0.5086505190311419,0.0016363879241250334,0.4368686852123557,0.81,292417,147,20695088,39135332,0.06265609998081345,2048916,20489160,0,48597356.0,5.098092800035374,0,48597356.0,18646172,0.00023880001390352845,38.979547400042065,56.13807520001137
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Full-Contextual__seed777,CICIDS2017,CICIDS2017_COVERAGE_R1,Full-Contextual,,1.0,777,FedAvg,clean,honest,0.7652376755729083,0.5014541633958332,0.0077372859811431285,89482,289,9.878349324409777,0.0009878349324409777,0.19162463087673354,0.5477308294209703,0.0038961617241072225,0.4186627532101961,0.83,292270,350,20659091,39108407,0.061087400012183934,2049924,20499240,0,48536212.0,5.267259700034629,0,48536212.0,18609167,0.00026140004047192633,41.03944940006477,58.21524310004315
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Full-Contextual__seed9001,CICIDS2017,CICIDS2017_COVERAGE_R1,Full-Contextual,,1.0,9001,FedAvg,clean,honest,0.7636529102410883,0.5000289291453442,0.005480055020632737,89583,794,27.139824787478766,0.0027139824787478766,0.196550072640927,0.23873441994247363,0.002771840769436281,0.45128922398351323,0.53,291765,249,20676582,39113577,0.0635039000044344,2048555,20485550,0,48602053.0,5.225652499924763,0,48602053.0,18628027,0.00023660001170355827,40.94411229985417,58.16489349996846
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oort-Style-Adapted__seed11,CICIDS2017,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,1.0,11,FedAvg,clean,honest,0.7651958335839494,0.5006130150437064,0.0030866596347082663,89693,94,3.2130271158979897,0.000321302711589799,0.17648747215247323,0.5965665236051502,0.0015473327990025826,0.3620426978923397,0.87,292465,139,8129761,26578294,0.012485900035244413,2049837,20498370,0,48366357.0,5.28340400000161,25500,11671477.0,6054424,0.003574699963792227,41.156393900033436,58.47318020000239
