cell_id,dataset_protocol,selection,aggregation,model_attack,reported_utility,beta,seed,rounds,role,expected,test_F1,test_PR_AUC,test_FPR,mean_malicious_selection_rate,mean_malicious_budget_fraction,malicious_reported_utility_mean,malicious_actual_utility_mean,benign_reported_utility_mean,malicious_update_norm_mean,benign_update_norm_mean,malicious_cosine_to_benign_mean,clean_F1,clean_PR_AUC,clean_FPR,attack_success_F1_drop,attack_success_PR_AUC_drop,attack_success_FPR_increase,honest_F1,honest_PR_AUC,honest_FPR,honest_malicious_selection_rate,honest_malicious_budget_fraction,forged_minus_honest_F1,forged_minus_honest_PR_AUC,forged_minus_honest_FPR,forged_minus_honest_malicious_selection_rate,forged_minus_honest_malicious_budget_fraction
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__forged__seed123,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,forged_inflated,0.4,123,30,metadata_falsification_extension,1,0.3804643145293643,0.23492184700999763,1.0,1.0,1.0,1.0169267208570991,0.016926720857099047,0.014811496566799713,11.705829514957685,2.4048619440312486,-0.9808727449840969,0.02262210796915167,0.1928426060862224,0.0018765445602425494,-0.35784220656021265,-0.04207924092377524,0.9981234554397574,0.44328167240031663,0.3312008543826472,0.7617335306724455,0.24444444444444444,0.24723333295613328,-0.06281735787095233,-0.09627900737264955,0.23826646932755446,0.7555555555555555,0.7527666670438667
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__forged__seed777,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,forged_inflated,0.4,777,30,metadata_falsification_extension,1,0.3804643145293643,0.23492184700999763,1.0,0.9888888888888888,0.9890153078046253,1.0271618374230422,0.027161837423042307,0.04371167854737054,12.136181986066191,2.354096311042824,-0.9749541680018107,0.004054907435104863,0.1876101516929618,0.00084085603245841,-0.37640940709425946,-0.04731169531703583,0.9991591439675416,0.0028398771588019683,0.17502485522796912,0.0030352851903376753,0.041666666666666664,0.042297683576882114,0.37762443737056234,0.05989699178202851,0.9969647148096623,0.9472222222222222,0.9467176242277432
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__forged__seed2026,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,forged_inflated,0.4,2026,30,metadata_falsification_extension,1,0.3804643145293643,0.23492184700999763,1.0,1.0,1.0,1.0109967014265044,0.010996701426504569,0.01181397397990272,13.060353794606979,2.5741604394667634,-0.9928972568776873,0.003036717685001496,0.1691438271800034,0.0008887096278015717,-0.3774275968443628,-0.06577801982999423,0.9991112903721985,0.010737833594976452,0.20363757336867733,0.017791283125796847,0.2111111111111111,0.213405742984789,0.36972648093438787,0.031284273641320304,0.9822087168742032,0.7888888888888889,0.786594257015211
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__forged__seed3407,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,forged_inflated,0.4,3407,30,metadata_falsification_extension,1,0.0,0.23492184700999763,0.0,1.0,1.0,1.0254304799863578,0.025430479986357904,0.019436723232035005,12.607934838554176,2.2370119604471936,-0.9854807555675507,0.48417566821729874,0.47592908430610614,0.0215136092207042,0.48417566821729874,0.2410072372961085,-0.0215136092207042,0.0,0.2242831458983045,0.04325281396231188,0.030555555555555555,0.030686573002059053,0.0,0.010638701111693127,-0.04325281396231188,0.9694444444444444,0.969313426997941
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__forged__seed11,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,forged_inflated,0.4,11,30,metadata_falsification_extension,1,0.3804643145293643,0.23492184700999763,1.0,1.0,1.0,1.0209621810280505,0.02096218102805048,0.015819794028725506,12.983922375217086,2.459431718100538,-0.9893634100755055,0.0024647222746499984,0.16343230998625852,0.0004375185859946199,-0.3779995922547143,-0.07148953702373911,0.9995624814140054,0.3804643145293643,0.23523542753852575,1.0,0.027777777777777776,0.02804847827890504,0.0,-0.0003135805285281179,0.0,0.9722222222222222,0.971951521721095
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__forged__seed314,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,forged_inflated,0.4,314,30,metadata_falsification_extension,1,0.3804643145293643,0.23492184700999763,1.0,1.0,1.0,1.0078928265571614,0.007892826557161304,0.014623298773443387,12.879559877922762,2.580660013270498,-0.9859181185563405,0.0033405601522056546,0.169941734844561,0.0014390259742479295,-0.37712375437715867,-0.06498011216543664,0.9985609740257521,0.40338033992144595,0.29621535182573366,0.9073417669598269,0.2111111111111111,0.21290332861159458,-0.02291602539208165,-0.06129350481573603,0.09265823304017307,0.7888888888888889,0.7870966713884054
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__forged__seed2718,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,forged_inflated,0.4,2718,30,metadata_falsification_extension,1,0.3804643145293643,0.23492184700999763,1.0,1.0,1.0,1.0068990895388374,0.006899089538837449,0.009734234944435736,12.03205919849198,2.3357660367442423,-0.987092254559199,0.0030576974208986973,0.17054741880132201,0.0010049255022063926,-0.3774066171084656,-0.06437442820867562,0.9989950744977936,0.3804643145293643,0.23492184700999763,1.0,0.08888888888888888,0.08951000458646986,0.0,0.0,0.0,0.9111111111111111,0.9104899954135302
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__forged__seed9001,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,forged_inflated,0.4,9001,30,metadata_falsification_extension,1,0.0,0.23492184700999763,0.0,1.0,1.0,1.0396728183992812,0.03967281839928122,0.03071410427295013,12.547909893315076,2.043266483087112,-0.9740985029273563,0.005203987527996136,0.26892108661701414,0.0034693856623792124,0.005203987527996136,0.03399923960701651,-0.0034693856623792124,0.003172877444835199,0.1773037532035832,0.0005605706883056068,0.07222222222222222,0.07321956104560726,-0.003172877444835199,0.057618093806414444,-0.0005605706883056068,0.9277777777777778,0.9267804389543928
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__forged__seed2027,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,forged_inflated,0.4,2027,30,metadata_falsification_extension,1,0.3804643145293643,0.23492184700999763,1.0,1.0,1.0,1.0145796992364748,0.01457969923647496,0.021028286698890966,12.812242142486374,2.605556954107021,-0.9854551805390253,0.02425783101383084,0.21849095826264575,0.006419218003889814,-0.35620648351553347,-0.01643088874735188,0.9935807819961102,0.0,0.23323785914619247,0.016441128114329077,0.04444444444444444,0.04468938636039286,0.3804643145293643,0.0016839878638051642,0.9835588718856709,0.9555555555555556,0.9553106136396071
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__clean__forged__seed42,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,forged_inflated,0.4,42,30,metadata_falsification_extension,1,0.0028321459543124363,0.228984139572741,0.0038829774507022517,0.6611111111111112,0.6631358202590453,1.115713123196184,0.1157131231961841,0.08958516600961725,1.2091410065158308,1.1847168983824055,0.6862983700301912,0.0028321459543124363,0.228984139572741,0.0038829774507022517,0.0,0.0,0.0,0.0028331100520501613,0.1952588607280155,0.0037770159181566795,0.0,0.0,-9.64097737725031e-07,0.03372527884472551,0.00010596153254557221,0.6611111111111112,0.6631358202590453
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__clean__forged__seed123,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,forged_inflated,0.4,123,30,metadata_falsification_extension,1,0.0034555704460122495,0.17477179960000805,0.0010288522998779734,0.8166666666666667,0.8173871016291837,1.0278648375604553,0.027864837560455165,0.03082837897895419,0.9449983733510297,0.9765821068006802,0.5410600980122884,0.0034555704460122495,0.17477179960000805,0.0010288522998779734,0.0,0.0,0.0,0.0031515846079252434,0.17899812932918702,0.0026422020857331343,0.0,0.0,0.00030398583808700615,-0.004226329729178968,-0.001613349785855161,0.8166666666666667,0.8173871016291837
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__clean__forged__seed777,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,forged_inflated,0.4,777,30,metadata_falsification_extension,1,0.008208872662905188,0.1787857706157946,0.000639187309226515,0.7833333333333333,0.7841897172159051,0.996097726942959,-0.003902273057041088,0.05512817476249026,0.9579895006190248,0.9990526789763502,0.5372987839910719,0.008208872662905188,0.1787857706157946,0.000639187309226515,0.0,0.0,0.0,0.02369703155745899,0.18158756038871926,0.013928814358813093,0.0,0.0,-0.015488158894553801,-0.0028017897729246677,-0.013289627049586578,0.7833333333333333,0.7841897172159051
