dataset,seed,beta,method,endpoint,fraction_of_full_final,target_value,reached,round,E2E_broadcast_bytes
CICIDS2017_COVERAGE_R1,42,1.0,CB-Score,F1,0.9,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,1.0,CB-Score,F1,0.95,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,1.0,CB-Score,PR_AUC,0.9,0.031762607204972794,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,1.0,CB-Score,PR_AUC,0.95,0.03352719649413795,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,1.0,Historical-DoubleCost,F1,0.9,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,1.0,Historical-DoubleCost,F1,0.95,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,1.0,Historical-DoubleCost,PR_AUC,0.9,0.031762607204972794,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,1.0,Historical-DoubleCost,PR_AUC,0.95,0.03352719649413795,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,1.0,Oort-Style-Adapted,F1,0.9,0.0,True,0.0,572614.0
CICIDS2017_COVERAGE_R1,42,1.0,Oort-Style-Adapted,F1,0.95,0.0,True,0.0,572614.0
CICIDS2017_COVERAGE_R1,42,1.0,Oort-Style-Adapted,PR_AUC,0.9,0.031762607204972794,True,0.0,572614.0
CICIDS2017_COVERAGE_R1,42,1.0,Oort-Style-Adapted,PR_AUC,0.95,0.03352719649413795,True,1.0,1018700.0
CICIDS2017_COVERAGE_R1,42,1.0,Oracle-Score-Exact,F1,0.9,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,1.0,Oracle-Score-Exact,F1,0.95,0.0,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,1.0,Oracle-Score-Exact,PR_AUC,0.9,0.031762607204972794,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,42,1.0,Oracle-Score-Exact,PR_AUC,0.95,0.03352719649413795,True,0.0,509799.0
CICIDS2017_COVERAGE_R1,123,0.1,Full-Contextual,F1,0.9,0.00134228187919458,True,6.0,4851702.0
CICIDS2017_COVERAGE_R1,123,0.1,Full-Contextual,F1,0.95,0.00141685309470539,True,18.0,13062994.0
CICIDS2017_COVERAGE_R1,123,0.1,Full-Contextual,PR_AUC,0.9,0.02814399912922929,True,0.0,698279.0
CICIDS2017_COVERAGE_R1,123,0.1,Full-Contextual,PR_AUC,0.95,0.02970755463640869,True,0.0,698279.0
CICIDS2017_COVERAGE_R1,123,0.1,Random-Budget,F1,0.9,0.00134228187919458,True,0.0,131365.0
CICIDS2017_COVERAGE_R1,123,0.1,Random-Budget,F1,0.95,0.00141685309470539,True,0.0,131365.0
CICIDS2017_COVERAGE_R1,123,0.1,Random-Budget,PR_AUC,0.9,0.02814399912922929,True,0.0,131365.0
CICIDS2017_COVERAGE_R1,123,0.1,Random-Budget,PR_AUC,0.95,0.02970755463640869,True,0.0,131365.0
CICIDS2017_COVERAGE_R1,123,0.1,Cost-Only,F1,0.9,0.00134228187919458,True,0.0,131445.0
CICIDS2017_COVERAGE_R1,123,0.1,Cost-Only,F1,0.95,0.00141685309470539,True,0.0,131445.0
CICIDS2017_COVERAGE_R1,123,0.1,Cost-Only,PR_AUC,0.9,0.02814399912922929,True,0.0,131445.0
CICIDS2017_COVERAGE_R1,123,0.1,Cost-Only,PR_AUC,0.95,0.02970755463640869,True,0.0,131445.0
CICIDS2017_COVERAGE_R1,123,0.1,Utility-Only,F1,0.9,0.00134228187919458,True,2.0,394333.0
