dataset,method,beta,proxy,round_observations,seeds_with_defined_correlation,pooled_pearson_r,pooled_pearson_p,pooled_spearman_rho,pooled_spearman_p,mean_seed_pearson_r,seed_pearson_ci_low,seed_pearson_ci_high,mean_seed_spearman_rho,seed_spearman_ci_low,seed_spearman_ci_high,interpretation_boundary
CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.2,proxy_sum,300,10,-0.3408474283038041,1.3487951684093227e-09,-0.11207413415704619,0.05247812627700289,-0.18060874497320664,-0.4467746917052692,0.119660581653529,-0.07870967741935483,-0.31288431590656285,0.14233815350389303,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.2,proxy_mean,300,10,-0.29589578888127793,1.779138039807397e-07,-0.08553828375870842,0.13938322361299707,-0.12960655627734474,-0.39369810659874077,0.16628386841300613,-0.029454949944382657,-0.24173748609566187,0.16311457174638486,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.4,proxy_sum,300,10,-0.0757764966749147,0.190571333670072,0.22823194532116467,6.624941470876094e-05,0.13186490531292647,-0.11459339705981703,0.3844156046485309,0.17191549726464578,-0.07691637565819905,0.38678805639859126,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.4,proxy_mean,300,10,-0.07199501510197172,0.21372099671501252,0.2565249357853905,6.791493601261612e-06,0.15814360525867188,-0.0792108293491939,0.3956419503161077,0.20413091923227128,-0.017635873003764298,0.3972428618622419,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.6,proxy_sum,300,10,0.4685235152284818,8.935342421424304e-18,0.4806367805501914,9.549848617919682e-19,0.5505454120385489,0.42016072435389507,0.6801127306566255,0.45945255348218933,0.3139952825025655,0.5978796438881129,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.6,proxy_mean,300,10,0.44551246687453416,4.932598328051967e-16,0.5258710709832619,9.831267988655677e-23,0.5727856922826053,0.455699814825236,0.6864091419191904,0.513624921672594,0.4000836509177419,0.633060037225985,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.8,proxy_sum,300,10,0.4854426674660944,3.8363138375559937e-19,0.5913328988839115,1.1129110904010611e-29,0.5603456472678522,0.2937544480627794,0.7499070597931901,0.5121321942726916,0.34318635973308864,0.6613125695216908,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.8,proxy_mean,300,10,0.4345368778915043,3.011017842293098e-15,0.6647810891128089,1.247787488766257e-39,0.5723585537776281,0.32304878766528095,0.7521671150232835,0.6046269840651665,0.499147312876903,0.7156713349829301,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Historical-DoubleCost,1.0,proxy_sum,300,10,0.34619743174912626,7.142395588782177e-10,0.4968786871941594,4.12996302595478e-20,0.46509999080974274,0.20140158674003128,0.6813974544075143,0.41339587359278446,0.19720645030115905,0.6046339158619721,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Historical-DoubleCost,1.0,proxy_mean,300,10,0.3469583074463436,6.518543465333109e-10,0.5892619461618439,1.9533595142517276e-29,0.5283929895992545,0.2619259409672192,0.7558755022807027,0.5099927351244816,0.34429293313425013,0.671642249338138,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
